durante_Gio_sf_1,durante_Gio_sf_2,durante_Gio_sf_3,durante_Gio_sf_4,durante_Gio_sf_5,durante_Gio_sf_6,durante_Gio_sf_7,durante_Gio_sf_8,durante_Gio_sf_9,durante_Gio_sf_10,durante_Gio_sf_11,durante_Gio_sf_12,durante_Gio_sf_13,durante_Gio_sf_14,durante_Gio_sf_15,durante_Gio_sf_16,durante_Gio_sf_17,durante_Gio_sf_18,durante_Gio_sf_19,Sujeto,Clase
0.82296,2.449,5.392,8.7646,5.0418,4.2039,1.6649,3.4243,11.0429,7.9565,8.0299,1.6908,3.3458,3.5905,7.0502,5.953,3.4188,3.2953,4.3102,A18RURI,A
6.7838,9.0776,11.1797,6.9984,5.1351,7.3992,9.2006,10.889,10.5514,8.9258,7.4333,5.1109,7.9079,8.931,10.5044,5.8252,3.4079,6.9475,10.182,A19MOEP,A
0,0,7.5136,5.7631,0.78946,0,1.5833,0.80854,4.9076,8.745,6.8243,0.78946,4.0642,6.65,7.6667,4.1464,1.5638,0.78904,7.601,A27HECE,A
5.0878,5.0609,8.5146,6.7313,2.4705,5.7457,1.6637,3.3516,6.0075,7.7415,7.0385,3.3075,4.2802,1.6469,5.8958,4.2362,4.2006,0.83721,4.2314,A28TOPA,A
4.5328,6.3448,7.1227,10.8131,7.2727,4.4217,5.1116,8.9021,2.7014,5.3824,7.9913,2.6385,3.6127,4.3721,7.2892,6.3955,5.175,2.6462,11.582,A8ESSAI,A
4.2778,4.2727,5.8626,0.80312,4.0716,3.3079,0.81244,4.1615,6.9198,8.447,5.9488,4.9932,7.0073,8.6392,6.1491,2.5444,5.7539,4.0825,5.1429,B10ESTO,B
3.4002,5.0975,8.7214,8.5499,2.6608,1.8011,1.5975,5.0992,7.7164,7.8292,9.7761,3.2882,7.5371,9.5853,9.9385,6.7567,2.4327,5.2297,8.664,B14FOVA,B
0.8106,0.8106,6.9982,8.1684,6.8542,0,0,6.8824,7.0149,10.6008,9.0581,0.83627,4.0243,8.7594,9.9688,7.7893,2.4339,0.79268,4.5214,B15GOGO,B
7.5115,4.7704,12.8393,10.0834,8.894,10.1777,11.2978,8.695,12.3401,12.3664,0,8.9643,12.4205,13.2462,14.1078,11.9394,10.7973,11.0123,12.4065,B17ARTO,B
5.9235,6.79,6.9408,4.9835,4.1215,1.6907,0.82032,5.8552,6.2064,7.0485,7.8629,4.2467,2.5589,7.8386,6.5126,7.7651,1.6346,4.099,3.6456,B20RORA,B
7.1886,1.6173,7.4901,1.5857,4.8141,1.5617,0.81987,4.9342,7.5192,8.4861,7.7376,2.4276,4.8013,9.1158,7.8811,6.6546,3.245,1.6247,3.4465,B21GUDE,B
5.6742,3.3066,8.4887,8.3897,9.421,4.0488,6.5637,7.7263,11.0306,11.3262,11.4344,8.2466,6.5179,11.1394,10.3099,9.5129,6.4361,1.5913,9.3251,B23VEZE,B
8.9087,8.7607,4.4662,2.4705,6.9182,6.0127,5.0641,5.167,8.9318,7.0884,9.4632,9.6346,9.1308,7.1017,7.0947,11.2506,6.2083,4.3981,8.7175,B25MEVI,B
8.951,9.7089,9.9076,8.1666,10.7677,5.3001,2.5941,8.0031,10.1961,11.7334,10.8613,8.7718,4.4454,4.3937,6.3733,6.2611,8.8341,5.2074,6.2698,B5ARMON,B
2.5008,2.439,8.7723,8.9121,6.0163,7.3701,9.2945,11.2919,5.1184,7.8676,9.7124,0,3.317,6.2015,10.4555,9.3435,1.6484,4.258,9.4109,B6SOMOD,B
3.323,5.9632,5.1155,7.0965,4.3567,2.4674,0,3.4896,6.8942,9.5968,7.9864,4.2006,7.6651,4.0933,5.475,4.3779,0.87445,0.81387,6.0254,M10CAUR,M
4.1337,5.0286,9.4861,8.8072,8.8132,5.8598,2.4757,10.2502,8.6266,8.9528,9.9166,4.2113,3.27,9.5206,9.7515,9.4186,3.3158,3.3278,7.8298,M11BADE,M
0.7974,0.80177,3.1806,2.428,1,0,0,0,2.3531,1.5937,2.3923,0.7974,0,1,4.7491,0.79387,0,0,0.80511,M13FECA,M
7.1436,6.2362,6.1219,7.0396,5.9194,4.451,4.1929,6.9769,5.965,6.3148,8.772,3.4645,5.0569,4.4706,4.4546,0.84411,1.7201,0.82415,2.6544,M16ARVE,M
6.2468,7.9454,5.1996,8.461,5.0181,6.016,0,3.5567,7.2658,9.4684,4.2012,3.5567,7.0333,5.2085,4.2185,3.5547,3.3481,3.3229,3.4675,M17GOSE,M
1.7488,8.6663,6.1114,3.4332,4.4692,2.556,0,0,6.1322,6.209,8.6753,0.88907,5.1995,5.194,6.0791,7.091,2.4708,0,0,M18HUME,M
0,0.78294,2.3468,3.2396,0.81643,0.78984,0.78868,1.5793,1.5545,5.6307,6.7602,0.80688,3.269,5.053,5.175,0,0,0,2.549,M21SANA,M
5.8705,8.478,6.8763,6.9458,7.5687,2.5639,1.7025,7.7405,9.5992,11.3246,1.694,2.5451,8.6645,8.6446,9.7018,5.0926,6.82,2.5656,6.0172,M22HUGU,M
1.703,5.5091,9.6739,7.9954,8.7775,0.85847,2.5623,6.1492,6.3854,10.6757,7.9164,3.3243,7.7925,7.9933,8.7409,6.9025,3.3166,3.4211,5.9672,M23SACA,M
2.4337,0,6.8585,5.1108,1.6526,3.239,0.79987,0.83057,6.765,4.4346,5.8449,3.2988,5.0454,2.5005,1.7167,3.4079,4.1181,0.80752,3.2528,M25MAVI,M
0,0.82157,5.9974,7.9885,6.1371,0.81345,0.80328,5.1131,2.6481,6.9749,8.7112,1.6376,5.9013,6.1588,8.5936,6.1761,0.83769,1.6523,4.3478,M28NUCO,M
