durante_Gio_theta_1,durante_Gio_theta_2,durante_Gio_theta_3,durante_Gio_theta_4,durante_Gio_theta_5,durante_Gio_theta_6,durante_Gio_theta_7,durante_Gio_theta_8,durante_Gio_theta_9,durante_Gio_theta_10,durante_Gio_theta_11,durante_Gio_theta_12,durante_Gio_theta_13,durante_Gio_theta_14,durante_Gio_theta_15,durante_Gio_theta_16,durante_Gio_theta_17,durante_Gio_theta_18,durante_Gio_theta_19,Sujeto,Clase
5.9149,5.7675,7.121,10.0668,6.7613,4.1495,2.9065,7.0084,7.4682,7.3424,7.9371,6.6848,9.6716,10.6956,10.2659,6.866,10.3016,10.7929,8.5935,A10GUAC,A
8.3477,11.8436,6.6529,10.2413,3.362,3.9628,7.1843,3.1846,13.022,10.2565,7.6582,9.2723,13.035,12.0534,8.4467,8.9709,8.2815,10.3629,3.085,A11BRCA,A
3.2201,6.2066,7.445,6.4035,2.1534,7.3073,3.7821,5.0513,7.076,7.877,6.4275,3.1419,7.5954,5.7513,4.6854,3.0488,3.8485,3.5713,3.2826,A12CAPA,A
4.9768,0.76008,6.1887,3.0741,7.5975,4.5103,1.4936,2.1859,7.1241,6.6463,5.5732,4.5401,9.4693,5.313,5.5567,2.9908,10.2346,4.6303,8.0293,A13RIVI,A
13.7536,9.8047,17.6131,9.8039,14.6012,10.7475,2.9004,15.5692,12.7259,17.6384,9.7325,13.7062,13.774,16.6456,14.7212,9.7638,15.6164,11.6017,13.686,A14RARO,A
5.3558,10.1456,8.8073,8.2384,4.3574,4.6429,4.5552,8.0248,9.4494,7.1925,7.9921,3.1646,5.8291,8.5572,7.4377,2.1299,3.7724,3.0442,0,A15GOGA,A
5.9086,9.183,10.1451,11.9351,10.1569,7.4722,7.1537,11.9425,8.0955,10.3152,8.6436,4.9096,12.6333,10.1192,10.179,11.057,6.7515,7.391,6.7979,A17MUSI,A
9.524,5.0056,4.2606,4.9682,6.1069,6.5645,7.6115,6.453,9.4379,5.4354,3.1066,8.0381,5.3846,7.5309,4.586,4.663,6.7288,8.2492,3.5522,A1ARVAE,A
1.6686,15.4162,15.7644,14.8887,15.2365,15.2365,14.2507,14.7235,15.5953,15.7232,15.6897,10.074,15.4328,15.5632,15.5697,15.5069,14.6716,13.3422,14.7677,A21AGLO,A
8.28,6.9186,6.4611,8.4484,8.4,6.0366,6.9145,7.4313,7.1646,6.7938,7.8257,5.698,7.69,6.5866,8.1835,6.4416,9.9924,4.4496,5.9725,A22SAHE,A
15.4798,15.4383,15.561,16.3752,5.3919,15.5624,15.503,15.6198,15.5815,15.4026,1.8099,15.3042,15.6047,16.5241,17.1177,16.181,15.3454,15.2749,16.4143,A24FLMA,A
5.1892,7.3242,10.4144,12.6719,8.9195,6.3209,2.9053,7.0452,9.5975,8.534,6.8042,8.7645,4.804,8.6373,8.2573,6.6587,6.6457,9.1792,6.96,A52CUCA,A
8.1155,7.6597,4.8324,4.2224,3.0075,6.5689,4.373,3.9591,7.7686,8.8301,5.829,8.1117,4.6534,6.8432,4.5495,1.5863,7.4207,6.3226,8.0498,A9AYAND,A
8.9514,10.0878,8.8656,8.055,4.593,7.1131,8.9978,10.0746,11.4096,6.0501,3.8955,5.2429,5.3614,8.1807,11.2908,9.777,5.2535,6.2195,10.2388,B11SUPR,B
10.3317,11.4449,11.0705,12.8731,4.0681,10.5579,9.9656,5.6464,11.866,11.6453,13.2185,12.2315,12.586,12.463,10.8267,1.8011,12.8343,4.8218,3.2917,B12LARA,B
0.74317,5.5164,7.8653,2.8055,9.2579,1.3965,2.1848,11.1529,8.0408,8.1297,11.5951,6.4933,9.6789,11.5682,8.6653,5.7326,10.1548,7.4383,6.3713,B13VIGA,B
3.9848,11.4694,8.9045,9.5486,9.7297,3.9668,9.9635,8.8423,10.0668,10.5711,3.2552,5.6525,8.2561,10.7016,5.3739,4.7431,4.0154,8.4909,6.5175,B18CASI,B
8.5289,7.0203,5.7911,6.5553,4.9678,5.692,5.7395,2.1787,7.6926,4.4561,2.2923,8.6997,6.6848,1.3896,2.8334,1.6218,9.1696,3.4304,3.0581,B22VIPU,B
6.9162,7.0337,6.1084,7.2842,0,4.6439,0,0,9.8893,9.4387,10.9177,7.8608,11.835,10.9049,10.0901,8.8704,4.7462,8.4651,7.329,B24CECU,B
