Despues_C_a_1,Despues_C_a_2,Despues_C_a_3,Despues_C_a_4,Despues_C_a_5,Despues_C_a_6,Despues_C_a_7,Despues_C_a_8,Despues_C_a_9,Despues_C_a_10,Despues_C_a_11,Despues_C_a_12,Despues_C_a_13,Despues_C_a_14,Despues_C_a_15,Despues_C_a_16,Despues_C_a_17,Despues_C_a_18,Despues_C_a_19,Despues_C_a_20,Sujeto,Clase
0.81818,0.70476,0.70476,0.78205,0.84444,0.78205,0.63889,0.5,0.73626,0.77273,0.78788,0.5,0.74725,0.80303,0.66667,0.95238,0.78182,0.77778,0.94444,1,B11SUPR,B
0.89091,0.87879,0.97222,0.88462,0.70588,0.73333,0.73333,0.75641,0.76923,0.71212,0.79048,0.85714,1,0.85897,0.69091,0.75833,0.75,0.84444,0.72794,0.83636,B12LARA,B
0.58333,0.66667,0.48718,0.71429,0.53571,0.71429,0.28571,0.6,0.58333,0.63889,0.5,0.3,0.8,0.7619,0.33333,0.64286,0.61111,0.6,0.53571,0.52381,B13VIGA,B
0.61818,0.5,0.75,0.5,0.57143,0.58182,0.66667,0.58333,0.63889,0.46429,0.72727,0.8,0.72727,0.66667,0.63636,0.72222,0.8,0.39286,0.8,0.53571,B18CASI,B
0.77778,0.54545,0.75,0.57576,0.9,0.80556,1,0.62121,0.80952,0.4,0.66667,0,0.33333,0.75556,1,0.70909,0.71111,NaN,0.86667,0,B22VIPU,B
0.63636,0.64103,0.58182,0.63636,0.58095,0.72727,0.77778,0.62821,0.67857,0.68889,0.6,0.66667,0.66667,0.52727,0.63889,0.50909,0.5,0.80952,0.46429,0.80556,B24CECU,B
0.82418,0.84762,0.85294,0.85294,0.96154,0.85455,0.84762,0.93407,0.86667,0.77778,0.89011,0.98182,1,0.77778,0.85294,0.85294,1,0.83333,0.82857,0.89167,B4CAZAD,B
0.8366,0.80147,0.85455,0.875,0.79739,0.86765,0.93333,0.79739,0.875,0.93333,0.875,0.92308,1,0.84559,0.77193,0.95556,0.875,0.93333,0.96364,0.96703,B7MESEA,B
0.86813,0.8381,0.89091,0.87912,0.79167,0.85714,0.80952,0.87912,0.83333,0.74167,0.76667,0.8381,0.90476,0.8381,0.83516,0.8381,NaN,0.81818,0.76667,1,B8RAMOM,B
0.87582,0.91176,0.86275,0.87582,1,0.87582,0.94118,0.86275,0.87582,1,1,0.92647,1,1,0.91176,0.84967,1,1,0.94118,0.87582,MB9BENIE,M
0.78022,0.89744,0.98182,0.675,0.9697,1,0.8,0.71429,0.7619,0.9,0.88889,0.94444,0.88889,0.8,0.75,0.75,0.7,0.84615,0.73333,0.7619,M12SAES,M
0.65934,0.77143,0.89394,0.74286,0.82418,0.75824,0.66667,0.82418,0.72727,0.7,0.92727,0.77778,0.5,0.90909,0.77143,0.77143,0.69231,0.83333,0.69444,0.84444,M19NAMO,M
0.66667,0.82051,0.75758,0.42857,0.72381,0.52778,0.85897,0.72527,0.77778,0.76923,0.76923,0.82051,0.84444,0.7,0.72527,0.4,1,0.86364,0.92727,0.87879,M24SAME,M
0.96667,0.96667,0.96667,0.83088,0.83333,0.96667,0.81699,0.96667,NaN,0.83088,0.98095,1,0.96667,0.96667,0.81699,0.96667,0.85714,0.96667,0.96667,1,M27MUAG,M
0.83333,0.70833,0.96429,0.94444,0.69281,0.92857,0.72794,0.82051,0.82857,0.69281,0.98485,0.98485,1,0.71895,0.98485,0.75,0.79487,1,0.75,0.84615,M3ESDIR,M
0.87179,0.87179,0.81818,0.78022,0.96364,0.81818,0.83333,0.96364,0.8022,0.8022,0.4,1,1,0.69091,0.78022,0.72727,0.87273,0.86667,1,1,M7FLSAA,M
0.63235,0.63235,0.80303,0.65934,0.88889,0.66667,1,0.71212,0.84444,1,0.66667,0.79487,0.77778,0.90909,0.97778,0.97778,0.91111,0.78182,0.79487,0.93333,M8AVGUK,M
0.84762,0.75817,0.90909,0.88571,0.79412,0.87179,0.85714,0.76471,0.92424,1,0.90909,0.8,0.81667,0.81905,0.8,1,0.92727,0.83333,0.80882,0.73856,M9SAAND,M
