despues_C_gamma_1,despues_C_gamma_2,despues_C_gamma_3,despues_C_gamma_4,despues_C_gamma_5,despues_C_gamma_6,despues_C_gamma_7,despues_C_gamma_8,despues_C_gamma_9,despues_C_gamma_10,despues_C_gamma_11,despues_C_gamma_12,despues_C_gamma_13,despues_C_gamma_14,despues_C_gamma_15,despues_C_gamma_16,despues_C_gamma_17,despues_C_gamma_18,despues_C_gamma_19,Clase
?,0,0.85714,0.58333,0.73333,?,0,0.93333,0,0.66667,0.85714,?,?,0.93333,0.67857,0.66667,?,?,0.33333,H
1,0.67857,0.83333,0.70909,0.90476,1,?,0.7619,0.65455,0.69091,0.75556,0.46667,0.8,0.68182,0.57576,0.93333,0.85714,?,0,H
1,0.61905,0.57778,0.64444,0.6,1,0.5,0.52381,0.57143,0.5,0.62222,?,1,1,0.55556,0.85714,?,0.5,0.8,H
0.9,0.33333,0.51515,0.7619,0.50909,0.46429,0.6,0.7,0.4,0.40909,0.71429,0.46429,0.46667,0.42857,0.5,0.53333,0.60714,0.57143,0.51111,H
0.53571,0.46667,0.5,0.53333,0.8,0.57143,0.47222,1,0.41667,0.66667,0.47436,0,0.71429,0.66667,0.58182,0.5,0,0.72222,1,H
0.83333,0.55556,0.54545,0.71429,0.93333,1,?,0.69444,0.51111,0.46667,0.69444,0.67857,0.71429,0.51515,0.48352,0.73333,0.6,0.5,0.8,H
0.6,1,0.64286,0.52778,0.3,0.4,0,0.8,0.57143,0.53333,0.53333,0.16667,0.52778,0.50909,0.52727,0.5,0.6,?,0.8,H
0.2,1,0.71429,0.71429,0.82143,0.16667,1,1,0.38095,0.51111,0.57778,?,0.33333,0.56364,0.66667,0.85714,0.33333,0.52778,1,M
0,1,0.64286,0.44444,0.7,?,?,0.46667,0.46667,0.52778,0.42857,?,0.5,0.73333,0.46667,0.52381,0.16667,0.83333,1,M
0.53333,?,1,0.49091,0.9,0,?,0.86667,1,0.4,0.73333,0.8,0.46429,0.60714,0.80952,0.8,?,?,0.55556,H
?,1,0.80556,0.85714,0.71111,?,?,1,0.64286,0.83333,0.69091,?,0.66667,0.75,0.57576,0.82143,?,?,0.93333,H
0.33333,0.46667,0.71429,0.75,0.73333,?,?,0.83333,0.48889,0.63889,0.82143,?,0.6,0.56364,0.63889,0.58333,0.5,?,0.5,H
0.94505,0.94505,0.93333,0.88333,?,0.88333,0.96364,0.88333,0.77941,0.93333,0.97222,0.88571,0.87912,0.93333,0.91429,0.91429,0.91429,?,0.97436,H
0,?,0.8,0.7,0,1,?,0.2,0.66667,0.73333,0.51111,0,0.47619,0.42857,0.38889,0.4,?,0,0.8,M
0.47619,0.61111,0.67857,0.7619,0,0.5,0.4,0.43636,0.6,0.50476,0.57576,0.35556,0.6,0.50909,0.58182,0.75,0.46667,0.5,0.35714,M
1,0.5,0.53333,0.53333,0.5,?,?,0.66667,0.47619,0.57143,0.52381,0.83333,0.53333,0.47619,0.46667,0.66667,?,?,1,H
?,0,1,0.66667,0.7619,1,?,0.55556,0.52778,0.66667,0.6,0.2,1,0.8,0.6,0.52778,?,?,1,M
0.5,1,0.45455,0.63889,0.83333,0,?,0.53333,0.41667,0.86667,0.45455,?,0.83333,0.63889,0.86667,0.71429,?,?,1,H
?,0.6,0.69091,0.83333,0.66667,0.95238,0.63889,0.57143,0.59091,0.60606,0.63889,0.9,0.55128,0.63636,0.57692,0.44444,0.7619,0.71429,0.60714,M
0.46667,0.61905,0.53333,0.66667,0.2,?,0,0.42857,0.58333,0.80952,0.7619,1,0.46667,0.80952,0.5,0,1,?,1,H
?,1,0.6,0.5,1,1,1,0.53333,0.3,0.83333,0.34545,1,0.5,0.26667,0.39286,0.5,1,1,0.66667,H
0.4,0.33333,0.33333,0.33333,0.83333,0.5,?,0.83333,0.33333,0.66667,0.47222,0.66667,0.4,0.42857,0.57143,0.57143,0.2,1,0.66667,H
0,1,0.92857,0.83636,0.78571,0,1,0.68889,0.59091,0.8,0.72727,?,0,0.94444,0.64103,0.75758,?,1,0.78182,M
?,?,0.75,0.57143,0.8,?,?,1,1,0.64444,0.66667,?,0,0.58333,0.72222,0.85714,0,?,0.86667,M
0.6,0.66667,0.55556,1,?,0.62222,0.42857,0.55556,0.66667,0.67857,?,0,0.61905,0.51515,0.54545,0.46667,0.55556,0.57143,0.66667,M
0.83333,0.4,0.57143,0.57143,0.7619,0.16667,0.33333,0.73333,0.46429,0.47273,0.67857,0.53333,0,0.46429,?,0.9,0.53333,0.66667,0.39286,H
0,1,0.47619,1,1,0.33333,?,0.46667,0.39286,0.66667,0.34545,0,0,0.46667,0.53571,0.6,?,1,0.33333,M
?,?,0.67857,?,0.83333,?,?,0.8,1,0.75,0.66667,?,?,0.66667,0.75,0.52381,0,?,0.86667,M
0.33333,?,0.60714,?,0.66667,0.33333,?,1,0.66667,0.64286,0.80952,0.5,0.57143,0.52778,0.73333,0.57143,0.5,1,?,H
0.33333,?,0.47273,0.47619,0.58333,0,?,0.7,0.39286,0.42857,0.71429,0.33333,0,0.53333,0.60714,0.58333,0.2,1,0.83333,M
0.2,0.33333,0.42857,0.66667,0.73333,0.14286,0.2,0,0.16667,0.47619,0.57143,0.66667,0.33333,0.33333,0.25,0.42857,0.2,0,0.33333,H
0.70909,0.65152,0.60606,?,0.71429,0.65152,0.7619,0.56061,0.73333,0.69697,0.64444,0.77778,0.80952,0.68182,0.54545,1,0.75,0.73333,1,M
?,0.66667,0.68182,0.78788,0.88889,?,?,1,0.84444,0.78788,0.93333,?,0.58974,0.87273,0.87273,0.96429,1,?,0.78182,H
?,0.33333,0.52381,0.5,0.66667,?,?,0.3,0.8,0.57143,0.66667,?,?,0.5,0.42857,0.6,?,?,0.33333,M
?,0.33333,0.83333,0.83333,0,0,?,0.33333,0.4,0.46429,0.5,0,0,0.66667,0.57143,0.38095,?,0,0.5,M
0.51111,0.7,0.54945,0.66667,0.67033,0.64286,1,0.80556,0.62637,0.89286,0.67949,0.7619,0.90476,0.75641,0.78182,0.75758,0.65385,0.62821,0.74545,H
0.3,1,?,0.33333,0.5,1,1,0.5,0.38095,0.38095,0.66667,0.33333,0.35714,0.38095,0.22222,0.4,0.5,?,1,H
?,0,0.32143,0.71429,0.61905,?,?,1,0.5,0.61905,0.55556,?,?,0.60714,0.7619,0.61905,?,?,0.7,H
0.5,0.4,0.52778,0.61111,0.78571,0.33333,?,0.93333,0.42857,0.47273,0.57778,0.66667,0.4,0.6,0.71429,1,0.66667,0,0.57143,M
1,0.5,0.69444,0.72222,0.95238,1,?,0.85714,0.39286,0.4697,0.6,?,?,0.8,0.61111,0.78571,?,1,0.83333,M
0.2381,0.52778,0.5,0.5,0,0.73333,0.52381,0.5,0.61905,0.67857,0.64286,0.66667,0.57143,0.52778,0.41667,0.16667,0.4,0.33333,?,H
