despues_C_theta_1,despues_C_theta_2,despues_C_theta_3,despues_C_theta_4,despues_C_theta_5,despues_C_theta_6,despues_C_theta_7,despues_C_theta_8,despues_C_theta_9,despues_C_theta_10,despues_C_theta_11,despues_C_theta_12,despues_C_theta_13,despues_C_theta_14,despues_C_theta_15,despues_C_theta_16,despues_C_theta_17,despues_C_theta_18,despues_C_theta_19,Clase
1,0.33333,0.4,0.67857,0.67857,0,?,0.83333,0.58333,0.61111,0.80952,1,0.71429,0.49091,0.80952,0.80952,0.90476,0.90476,1,H
0.93333,0.67033,0.85455,0.81818,0.91667,1,0.94444,0.73333,0.67033,0.7,0.8,0.73333,0.61667,0.70513,0.81818,0.82222,0.74242,0.78182,0.75824,H
0.80769,0.92727,0.82222,0.92727,0.78571,0.82222,0.64762,0.72527,0.68571,0.92727,0.79487,0.71795,0.65455,0.6,0.63333,0.72727,0.66667,0.66667,0.80952,H
0.63636,0.66667,0.71212,0.73333,0.77778,0.54545,0.66667,0.46429,0.78182,0.64444,0.5,0.78182,0.66667,0.56061,0.63636,0.61111,0.61905,0.47619,0.57576,H
0.78182,0.87273,0.75556,0.64835,0.71212,0.87273,0.65934,0.75758,0.67949,0.9,0.67857,0.80952,0.87273,0.47222,0.73333,0.85455,0.4,0.4,?,H
0.70909,0.71795,0.65152,0.88889,1,0.83333,1,0.96429,0.71429,0.69091,0.72727,0.75758,0.71795,0.66667,0.71795,0.4,0.85714,1,0.82222,H
0.93333,0.82353,0.82353,0.89524,0.875,0.93333,0.875,0.875,0.875,0.84559,1,0.98718,0.875,0.82353,0.89524,0.9359,1,0.98718,0.9359,H
0.62222,0.66667,0.16667,0,0.67857,0.66667,0.66667,0.33333,0.49091,0,0,0.62222,0.66667,0.33333,0.33333,0.67857,0.64286,0.44444,0.53571,M
0.84848,0.84848,0.65934,0.69444,0.86667,0.84848,0.69444,0.66667,0.8,0.84848,0.58242,0.78788,0.6,0.85455,0.62121,0.7619,0.67273,0.5619,0.97222,M
0.6,1,0.33333,0.80556,1,1,0.82143,0.96429,0.6,1,0.80556,0.6,1,0.58182,0.80556,0.96429,0.6,1,0.96429,H
0.57143,0.53333,0.4,0.47619,0.5,0.5,0,0.5,0.53571,0.57143,0.53333,0.7619,0.64286,0.66667,0.52381,0.4,0.61905,0.64286,0.53333,H
0.93333,0.73333,0.62121,0.84444,0.84444,0.7619,0.4,0.72727,0.71429,1,1,0.7619,0.42222,0.86667,0.86667,0.86667,0.8,0.46667,0.86667,H
0.925,0.86275,0.86275,0.92647,1,0.92647,0.99167,0.92647,0.99167,0.91912,0.92647,1,0.91912,0.91912,0.99167,0.92647,0.91912,1,0.92647,H
0.8,0.8,0.63736,0.72222,?,0.63636,?,0.7619,0.74359,0.67273,0.93333,0.80303,0.88889,0.67949,0.63636,0.75,0.8,0.91667,0.69697,M
0.60256,0.47436,0.75,0.75,0.60714,0.9,0.66667,0.63636,0.62222,0.71429,0.57143,0.7619,0.66667,0.61818,0.62121,0.68889,0.5303,0.33333,0.73333,M
0.71429,0.72527,0.75641,0.75,1,0.83333,0.72727,0.77778,0.71429,0.84848,0.675,0.71429,0.89091,0.93333,0.75824,0.74545,1,0.74242,0.93333,H
0.8,0.59167,0.82051,0.83333,1,0.57143,0.89091,0.86364,0.8,0.73626,0.83333,0.7619,0.60606,0.90909,0.79487,0.8,0.65714,0.93333,0.90909,M
0.52727,0.95238,0.75,0.57778,1,0.95238,0.7619,0.90476,1,0.78571,0.75,0.69444,0.95238,0.64286,0.50909,0.53333,0.69444,0.8,0.52381,H
0.69697,0.72727,0.71212,0.74545,0.82143,0.76364,0.82222,1,0.72727,0.71212,0.72222,0.72222,0.77778,0.60952,0.72222,0.8,0.5,0.75,0.83333,M
0.78788,0.71795,0.71795,0.75,0.77778,0.71212,0.85714,0.93333,0.75758,0.75758,1,0.91667,0.81818,0.74242,0.67033,?,0.74359,0.71429,0,H
0.73333,0.66667,0.63636,0.72727,0.71429,0.65152,0.72727,0.69231,0.75556,0.78571,0.8,0.60606,0.61818,0.70909,0.68182,0.5,0.56061,0.52727,0.67949,H
0.74545,1,0.68182,1,0.5,0.68182,0.67857,0.46667,0.94444,0.94444,0.5,0.84444,0.94444,0.62222,0.6,0.5,1,0.33333,0.5,H
0.64286,0.7619,0.69444,0.63636,0.6,0.6,0.69444,0.80952,0.60606,0.57692,0.60256,0.67273,0.78571,0.69444,0.60606,0.6,0.56061,0.52727,0.75,M
1,0.58974,0.66667,0.69091,0.62222,0.70909,0.85714,0.7619,0.80556,0.71212,0.65455,0.93333,0.70909,0.68182,0.62821,0.86667,0.89286,?,0.8,M
0.52778,0.33333,0.8,0.50909,1,0.39286,0.75,0.57143,0.53571,0.75,0.67857,0.73333,0.46667,0.61111,0.52727,0.60714,0.55556,0.60714,0.8,M
