despues_E_beta_1,despues_E_beta_2,despues_E_beta_3,despues_E_beta_4,despues_E_beta_5,despues_E_beta_6,despues_E_beta_7,despues_E_beta_8,despues_E_beta_9,despues_E_beta_10,despues_E_beta_11,despues_E_beta_12,despues_E_beta_13,despues_E_beta_14,despues_E_beta_15,despues_E_beta_16,despues_E_beta_17,despues_E_beta_18,despues_E_beta_19,Sujeto,Clase
1,0,15,16,10,0,1,13,6,12,22,4,4,14,22,8,3,0,5,A10GUAC,H
0,9,24,26,10,1,0,18,26,29,22,13,21,29,30,14,13,0,0,A11BRCA,H
2,9,26,31,33,0,2,11,30,24,31,0,2,7,27,24,1,0,10,A12CAPA,H
6,0,25,13,18,0,0,0,22,26,13,15,13,10,3,3,10,0,0,A13RIVI,H
17,4,40,24,0,3,28,6,20,42,39,21,36,42,32,0,0,42,3,A14RARO,H
4,9,33,31,20,1,0,26,12,25,32,8,10,21,31,20,3,1,31,A15GOGA,H
6,10,11,12,4,15,0,12,29,22,35,26,26,21,20,7,15,0,17,A17MUSI,H
1,0,10,19,0,0,0,15,23,23,20,0,8,23,20,1,5,5,1,A18RURI,M
3,0,23,7,6,19,13,4,22,8,9,0,14,23,35,17,9,2,2,A19MOEP,M
9,1,1,29,20,8,3,17,10,24,27,8,9,18,28,26,8,2,25,A1ARVAE,H
1,1,26,36,33,1,0,11,28,39,43,0,26,39,43,43,2,0,21,A21AGLO,H
1,0,0,9,6,0,0,0,8,17,17,0,2,7,14,12,0,0,6,A22SAHE,H
105,116,105,116,0,116,105,116,116,118,66,116,105,118,116,116,116,3,118,A24FLMA,H
0,0,16,19,0,8,0,0,17,24,23,9,0,14,13,6,5,13,16,A27HECE,M
6,6,19,16,9,6,6,13,6,8,12,10,7,3,18,14,3,3,15,A28TOPA,M
1,1,22,20,9,1,0,16,20,23,24,3,7,14,20,5,0,0,3,A52CUCA,H
1,3,0,9,8,1,1,9,12,10,14,3,5,5,10,12,1,0,4,A8ESSAI,M
0,7,28,13,2,2,0,18,6,16,12,0,7,17,6,9,4,0,9,A9AYAND,H
