despues_E_theta_1,despues_E_theta_2,despues_E_theta_3,despues_E_theta_4,despues_E_theta_5,despues_E_theta_6,despues_E_theta_7,despues_E_theta_8,despues_E_theta_9,despues_E_theta_10,despues_E_theta_11,despues_E_theta_12,despues_E_theta_13,despues_E_theta_14,despues_E_theta_15,despues_E_theta_16,despues_E_theta_17,despues_E_theta_18,despues_E_theta_19,Clase
15,2,4,19,19,0,0,5,21,22,17,15,20,27,17,17,19,19,15,H
14,61,47,54,33,10,34,77,61,84,44,33,74,55,54,37,49,43,69,H
63,51,37,51,22,37,68,66,72,51,62,56,36,6,76,40,4,4,17,H
35,2,47,11,35,36,10,13,43,29,3,43,30,37,35,22,13,10,38,H
43,48,34,59,47,48,60,50,53,9,19,17,48,17,11,47,4,4,0,H
39,56,43,40,1,5,1,27,65,38,40,50,56,52,56,6,24,21,37,H
98,126,126,94,119,98,119,119,119,115,28,77,119,126,94,73,66,77,73,H
28,10,1,0,19,10,10,7,27,0,0,28,2,2,1,19,18,16,15,M
56,56,60,25,13,56,25,10,44,56,53,52,9,47,41,16,37,59,35,M
6,3,7,29,21,3,23,27,6,1,29,6,3,32,29,27,6,3,27,H
12,8,6,10,5,5,0,3,15,16,8,16,18,14,11,6,13,18,8,H
14,11,41,38,38,16,6,40,15,36,36,16,19,39,39,39,12,7,39,H
111,132,132,126,28,126,119,126,119,125,126,21,125,125,119,126,125,105,126,H
44,44,58,26,0,42,0,16,58,37,14,53,40,53,42,21,36,33,46,M
47,37,27,27,17,9,10,35,28,20,52,16,10,34,41,31,35,2,11,M
75,66,59,27,6,30,48,28,75,56,81,65,49,42,69,41,28,49,42,H
12,71,64,55,3,16,49,57,12,67,55,16,40,60,62,12,69,42,60,M
29,20,21,26,1,20,16,19,15,22,21,25,20,18,28,8,25,12,11,H
46,48,47,41,23,42,37,3,48,47,26,26,28,64,26,12,3,27,30,M
52,56,56,21,35,47,18,14,50,50,6,33,45,49,61,0,58,15,0,H
11,4,42,48,20,43,48,54,34,22,36,40,34,39,45,18,37,29,53,H
41,28,45,1,14,45,19,7,34,34,14,38,34,28,6,3,28,1,3,H
18,16,25,42,27,6,25,17,40,45,47,37,22,25,40,6,37,29,27,M
10,46,52,38,28,39,24,16,29,47,36,14,39,45,49,13,25,0,8,M
19,1,12,28,3,11,21,12,15,21,19,11,7,22,29,17,20,17,12,M
28,78,81,79,56,30,81,55,70,42,57,49,0,73,0,37,57,54,54,H
4,45,51,42,6,9,2,44,50,51,51,2,24,22,45,45,0,3,50,M
37,0,30,0,30,10,0,6,25,34,34,13,35,21,26,29,0,3,12,M
48,1,0,1,0,48,35,0,28,1,1,48,35,43,36,23,48,48,48,H
15,3,19,2,11,3,16,2,26,21,7,26,26,21,9,3,21,3,3,M
3,10,17,18,6,0,6,14,4,9,17,13,7,12,25,4,19,1,1,H
47,28,21,14,20,29,24,32,33,36,13,47,37,45,29,21,33,41,20,M
20,31,36,42,28,19,6,12,17,22,39,56,51,40,39,37,45,9,6,H
5,14,15,19,9,4,10,3,10,10,19,1,8,7,6,14,1,8,8,M
74,74,80,94,33,86,28,71,74,94,84,64,74,94,31,74,49,0,1,M
17,19,25,28,10,6,21,25,19,20,28,13,14,15,26,24,14,2,13,H
18,42,5,5,1,22,10,0,39,44,49,44,44,37,43,10,43,15,39,H
0,0,6,8,8,0,6,8,0,13,5,6,11,15,11,6,0,3,8,H
53,32,31,35,39,5,13,20,35,59,34,38,35,71,38,39,15,32,66,M
20,52,37,53,24,10,16,48,61,68,53,16,64,27,37,51,27,58,37,M
33,29,41,16,2,36,21,3,36,35,9,26,38,33,3,4,9,15,10,H
3,21,29,6,0,0,23,3,21,27,8,0,21,0,1,0,21,23,0,M
40,25,34,22,38,9,3,1,26,30,40,41,3,41,27,4,4,8,3,M
41,34,4,2,2,44,28,2,42,30,5,41,41,29,6,4,41,37,5,M
27,30,16,31,13,8,22,19,25,22,27,27,23,15,15,23,19,10,15,M
35,8,34,44,22,14,16,2,39,3,29,41,1,49,51,41,24,8,43,H
45,66,75,95,42,53,89,60,89,47,19,58,89,41,61,1,53,60,46,M
26,76,68,51,88,68,61,68,84,77,77,26,69,41,77,49,15,1,40,M
8,39,23,64,45,20,17,38,39,39,59,3,47,44,49,36,9,33,18,M
9,22,37,31,11,11,0,4,26,16,39,9,28,17,17,9,32,32,22,H
57,24,75,64,51,6,0,36,58,36,64,24,75,64,64,42,9,39,34,M
32,48,10,9,29,31,15,28,56,48,13,25,51,42,35,34,25,18,12,H
6,10,51,48,0,6,6,28,19,30,48,10,44,48,43,10,23,43,31,M
1,33,28,34,6,1,16,8,33,33,34,3,33,41,19,6,20,44,15,H
3,34,27,47,25,25,28,15,47,42,44,34,36,27,41,11,34,3,29,H
49,70,66,78,30,67,59,28,57,57,72,55,89,43,53,70,6,56,6,H
25,11,19,32,23,15,15,11,25,29,6,26,29,26,17,3,10,15,23,H
