despues_Gio_alpha_1,despues_Gio_alpha_2,despues_Gio_alpha_3,despues_Gio_alpha_4,despues_Gio_alpha_5,despues_Gio_alpha_6,despues_Gio_alpha_7,despues_Gio_alpha_8,despues_Gio_alpha_9,despues_Gio_alpha_10,despues_Gio_alpha_11,despues_Gio_alpha_12,despues_Gio_alpha_13,despues_Gio_alpha_14,despues_Gio_alpha_15,despues_Gio_alpha_16,despues_Gio_alpha_17,despues_Gio_alpha_18,despues_Gio_alpha_19,Clase
7.0602,10.761,9.1359,7.4274,8.0604,10.0937,11.34,7.5584,11.8961,6.6542,5.9924,7.6428,9.1623,7.2262,6.2009,5.6382,4.3632,4.1203,6.8405,H
4.5628,8.7933,10.1231,9.4061,9.8464,2.4919,0.69646,5.7169,9.935,8.6076,8.1889,6.8619,10.3282,11.4118,9.4146,2.0091,6.5881,4.3825,2.088,H
1.6422,9.2026,6.7202,6.5132,10.0843,3.0686,3.7359,3.0332,8.0315,3.0728,5.1818,7.3041,8.0425,8.7445,9.5622,7.9332,5.2914,7.3238,5.324,H
4.535,2.814,6.0465,2.2354,2.1566,3.742,0.71761,2.8223,5.0554,4.9415,4.7029,5.3137,4.9707,6.0488,3.755,2.3722,4.6295,2.4532,3.0468,H
4.1037,7.3603,12.0119,5.3523,4.9355,5.7121,9.1734,4.1347,10.1035,10.1385,9.2993,2.5552,9.9386,10.2864,5.3875,3.2177,3.1703,7.5815,5.1147,H
5.6269,7.1018,9.8952,10.0492,9.4717,3.4944,9.3694,9.8398,7.0417,10.8106,10.3123,5.8535,11.6759,11.9389,9.9962,9.357,6.0552,9.7804,7.5521,H
7.4194,5.4246,8.4933,9.9065,7.3942,8.8475,8.6179,10.453,4.8643,4.8852,6.003,6.6701,10.7347,5.8005,10.1132,8.0477,4.3718,3.613,8.7447,H
2.2253,1.3923,2.9204,3.2511,2.9193,3.1163,0.6626,2.9656,3.5461,6.8918,6.3196,2.2148,5.5485,5.0219,5.0129,3.2518,2.8218,0,3.092,M
7.1248,8.4524,9.1978,6.453,6.3034,2.9848,2.9668,6.7841,9.3039,8.122,6.4129,4.245,8.4762,8.4541,8.505,4.8679,9.4823,5.7382,2.0498,M
6.4797,2.9269,0.86064,3.798,5.0388,5.4105,4.4489,4.2812,5.3178,1.4226,5.7963,2.9091,5.8165,6.4287,6.6657,5.1368,7.7075,5.5533,8.0149,H
4.0441,8.2926,7.0196,8.9964,8.338,3.9643,4.0101,7.2346,8.3512,10.2425,9.8803,6.0135,8.0555,5.7728,4.0338,7.3578,2.4049,2.1948,3.1684,H
1.4516,7.7616,6.9346,7.8557,5.0207,0.7026,5.2243,6.1238,6.5559,8.0155,6.3663,5.8369,6.897,7.6289,7.3243,5.1347,2.1227,1.5116,4.1042,H
15.2435,15.1867,15.4402,15.47,0.8226,15.2701,14.6857,15.4013,15.5813,15.428,0,15.1948,15.6979,15.3198,15.1836,15.4207,15.4221,13.9696,15.3683,H
3.2042,8.1845,8.3265,9.0238,0,7.0192,0,0,12.0571,10.3647,11.1471,10.2766,6.3857,10.2874,9.7698,0.74009,9.6377,8.5643,7.2394,M
4.6759,8.0827,8.8856,7.2348,2.1025,6.0507,5.0233,8.9569,9.7399,9.7429,8.312,2.0833,10.4451,6.4834,7.1539,5.4566,2.9222,2.323,3.7881,M
