durante_E_gamma_1,durante_E_gamma_2,durante_E_gamma_3,durante_E_gamma_4,durante_E_gamma_5,durante_E_gamma_6,durante_E_gamma_7,durante_E_gamma_8,durante_E_gamma_9,durante_E_gamma_10,durante_E_gamma_11,durante_E_gamma_12,durante_E_gamma_13,durante_E_gamma_14,durante_E_gamma_15,durante_E_gamma_16,durante_E_gamma_17,durante_E_gamma_18,durante_E_gamma_19,Clase
3,6,12,16,7,3,2,1,10,23,17,6,10,16,11,12,6,1,6,H
0,26,26,23,1,0,0,0,22,20,29,0,26,20,29,6,0,0,0,H
12,27,36,41,29,7,3,38,12,30,35,5,7,6,29,30,6,0,31,H
0,0,4,3,1,0,0,0,0,3,10,0,0,2,9,3,0,2,5,H
100,94,64,76,66,36,0,76,100,100,21,94,94,100,92,100,68,0,75,H
10,21,15,12,11,19,0,15,14,14,13,22,21,6,14,11,12,0,4,H
0,6,18,36,15,0,0,15,23,40,34,1,6,37,39,28,3,3,20,H
2,2,15,20,3,9,0,6,23,18,19,0,5,5,10,9,4,0,0,M
4,3,26,14,12,2,18,9,23,19,7,2,13,31,20,2,1,9,19,M
6,1,3,7,9,2,0,11,8,9,13,11,8,6,13,6,0,0,1,H
0,1,17,25,8,1,0,14,4,20,22,0,0,19,19,11,0,0,7,H
0,0,10,17,8,1,1,1,10,22,24,0,1,22,20,18,0,0,10,H
58,14,54,57,0,19,6,53,63,64,1,21,54,63,51,62,69,0,62,H
0,0,23,14,0,0,3,0,13,28,23,0,11,22,25,14,1,0,24,M
7,4,15,10,0,3,0,5,5,19,15,0,5,0,10,8,1,1,9,M
0,3,25,16,18,0,0,6,15,25,20,0,8,13,22,6,0,0,3,H
7,19,16,28,18,8,1,17,10,10,21,2,3,2,14,15,1,0,30,M
4,11,14,13,2,8,3,2,17,11,7,3,14,5,7,2,8,1,3,H
14,11,7,0,0,5,0,3,18,14,7,12,18,14,6,1,6,0,2,M
0,3,12,3,2,3,0,1,7,9,14,1,2,8,6,3,0,0,1,H
0,0,34,6,5,0,0,11,18,18,25,5,20,31,31,5,16,28,23,H
1,0,4,2,3,0,0,1,3,5,9,0,6,10,6,6,2,0,2,H
9,9,43,20,2,5,0,15,26,29,44,5,30,38,40,16,3,21,35,M
0,0,27,27,31,0,0,21,29,36,34,0,3,25,36,13,0,0,6,M
46,1,54,50,23,36,47,34,62,80,0,40,53,80,87,72,70,52,58,M
3,5,14,2,2,3,2,19,19,10,15,5,0,21,0,8,1,6,9,H
1,4,5,0,0,0,0,1,4,9,8,0,0,4,6,3,0,0,3,M
0,0,2,0,6,0,0,0,7,17,13,0,0,9,15,15,0,0,6,M
10,3,42,3,21,0,0,47,48,57,57,46,46,56,52,47,25,1,21,H
8,3,41,36,51,12,11,28,56,53,58,50,22,51,53,43,14,0,28,M
0,3,13,6,0,0,0,0,3,16,13,0,0,15,15,12,0,0,3,H
15,12,8,0,1,12,5,8,12,10,6,10,19,4,7,10,17,3,6,M
1,37,51,52,36,0,0,51,44,51,51,0,51,43,51,1,0,0,35,H
13,15,18,19,14,6,1,5,26,14,30,13,2,7,6,11,8,4,10,M
0,1,23,19,12,1,20,19,6,13,30,0,0,7,23,20,0,5,17,M
1,2,3,4,7,1,0,3,5,7,0,1,5,9,7,3,1,2,2,H
12,33,21,40,21,7,0,4,33,22,33,30,15,33,30,16,3,6,10,H
0,1,19,15,23,1,0,13,11,27,24,1,3,25,13,1,1,2,3,H
3,11,14,18,11,1,0,3,14,24,16,7,14,3,17,12,1,0,14,M
1,1,6,28,30,2,0,22,23,27,30,2,0,14,24,19,0,0,26,M
0,8,19,21,12,0,0,3,4,19,16,0,1,16,16,3,0,0,0,H
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
9,9,19,16,13,4,3,12,5,14,22,3,3,2,8,3,1,0,1,M
38,35,37,35,4,26,0,25,23,38,18,6,32,5,14,5,9,0,1,M
2,50,42,48,28,22,0,7,50,45,41,1,25,43,52,45,6,3,0,M
0,22,32,35,14,22,0,4,38,37,35,1,10,41,28,28,5,3,5,H
0,0,0,1,0,0,0,0,0,4,6,0,0,5,5,0,0,0,3,M
13,20,34,28,14,7,2,42,43,34,0,2,31,40,40,8,23,3,15,M
0,11,13,22,21,0,1,4,15,37,25,0,20,23,32,13,8,8,14,M
0,8,30,39,16,3,29,17,28,24,38,0,13,33,21,18,20,10,16,H
1,0,10,3,1,0,0,0,13,9,5,6,9,9,3,3,9,0,3,M
0,10,16,14,11,1,0,14,16,27,26,0,4,10,21,3,1,0,0,H
0,0,13,20,17,0,0,13,3,14,28,0,11,13,22,12,0,0,14,M
0,9,11,4,7,15,0,5,19,14,17,0,9,16,16,1,0,0,4,H
7,12,58,9,27,10,10,31,28,34,39,2,15,35,32,33,4,25,30,H
5,18,21,31,29,1,1,8,40,33,30,6,21,39,34,29,7,1,12,H
0,8,14,13,11,3,0,3,14,18,17,0,0,12,12,3,0,0,4,H
