durante_Gio_alpha_1,durante_Gio_alpha_2,durante_Gio_alpha_3,durante_Gio_alpha_4,durante_Gio_alpha_5,durante_Gio_alpha_6,durante_Gio_alpha_7,durante_Gio_alpha_8,durante_Gio_alpha_9,durante_Gio_alpha_10,durante_Gio_alpha_11,durante_Gio_alpha_12,durante_Gio_alpha_13,durante_Gio_alpha_14,durante_Gio_alpha_15,durante_Gio_alpha_16,durante_Gio_alpha_17,durante_Gio_alpha_18,durante_Gio_alpha_19,Clase
6.0241,7.7333,7.8874,8.1619,7.1663,3.1269,2.1278,6.7274,10.9049,8.4931,7.2911,4.1164,5.3432,9.3727,9.9828,9.2975,3.0531,3.2664,4.62,H
6.2444,7.4557,7.4188,6.1433,0.72215,5.7559,0.74602,2.895,9.0963,7.4258,6.4676,4.7042,9.519,8.2643,3.0694,2.197,2.8677,4.8637,2.9718,H
1.5038,3.3086,5.5476,3.7739,3.1266,2.7556,2.9518,0.67674,6.2849,5.4822,1.5118,5.8992,5.2523,2.892,3.1849,5.319,3.73,5.1559,3.149,H
5.5744,1.4785,7.4187,8.101,3.7342,0.77929,2.166,6.3527,6.2758,5.0959,7.5465,4.8306,5.4863,5.639,7.394,3.7741,1.8789,4.925,3.0405,H
16.2506,15.2856,14.1766,15.3542,14.9549,14.0568,8.1392,15.212,16.3373,16.3343,8.1855,15.1559,16.299,15.2153,15.2925,11.9051,14.9521,2.6853,15.0682,H
5.8561,5.2097,4.26,3.8804,1.4051,1.4233,2.7762,5.0781,6.4456,5.1776,3.6513,5.9992,6.2882,5.8509,5.264,1.5058,2.7126,2.2919,5.0908,H
11.1914,4.7663,12.1982,13.582,6.1733,3.0251,4.606,9.4811,6.4103,13.4387,12.7272,6.276,12.2449,10.0841,10.3339,7.9592,7.0015,7.1577,10.5637,H
0.69499,8.7784,10.7897,10.0564,7.5499,7.7518,4.7524,8.7415,5.4756,9.431,8.5734,1.5144,3.9019,9.3045,9.9883,8.3321,2.9557,4.382,1.5765,M
5.2088,6.1002,5.4907,5.3703,4.9406,5.4755,3.2379,4.8113,5.7619,6.535,6.3973,4.6167,6.1517,7.1592,7.3689,4.2275,4.0485,6.2641,7.5561,M
7.7461,2.7654,5.1467,6.8695,3.1246,7.407,5.2068,2.8344,5.2467,4.9533,6.2007,8.1776,4.6253,6.3245,3.3641,4.4372,2.9478,2.6801,2.3053,H
0.89196,12.2109,14.4643,15.5218,11.1433,13.8708,12.0686,14.1064,14.2833,15.5025,15.3993,11.7695,15.2804,15.5914,15.6103,13.6979,13.8053,10.1119,12.0031,H
0.74101,4.631,10.3751,10.5835,5.2945,3.8159,5.9831,7.5023,10.6818,9.321,8.0657,5.0513,9.8065,11.9504,8.0227,4.721,6.5408,1.4687,8.96,H
15.5706,15.4674,15.7274,15.6558,0,15.5452,15.5734,15.6482,15.7285,15.6786,0,15.3387,15.6714,15.739,15.7751,15.7245,15.7068,15.0539,15.6791,H
7.3995,6.4051,5.1063,6.4612,6.1079,9.8307,6.927,1.5393,8.5315,13.2304,6.1463,6.3564,8.3084,10.3616,8.383,5.3857,9.9465,9.0286,7.3472,M
