@relation InstanceResultListener

@attribute Key_Dataset {despues_C_alpha_HM_AMB,despues_C_beta_HM_AMB,despues_C_delta_HM_AMB,despues_C_gamma_HM_AMB,despues_C_sf_HM_AMB,despues_C_theta_HM_AMB,despues_E_alpha_HM_AMB,despues_E_beta_HM_AMB,despues_E_delta_HM_AMB,despues_E_gamma_HM_AMB,despues_E_sf_HM_AMB,despues_E_theta_HM_AMB,despues_Gio_alpha_HM_AMB,despues_Gio_beta_HM_AMB,despues_Gio_delta_HM_AMB,despues_Gio_gamma_HM_AMB,despues_Gio_sf_HM_AMB,despues_Gio_theta_HM_AMB}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 11\nSize of the tree: 21\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

despues_C_alpha_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,51,6,2,4,0,33.333333,66.666667,0,-0.2,0.68964,0.772743,140.580438,157.288281,5.850391,1085.259396,-1079.409005,0.975065,180.876566,-179.901501,-2.43308,-0.405513,-243.871912,0.25,1,0.5,1,0.5,1,0.75,3,0.5,0.25,0.333333,-0.25,0.1875,0.566667,0.333333,0.583333,0.416667,0.666667,0.416667,0.333333,0.333333,-0.25,0.1875,0.475,0.333333,0.333333,0.002,0,0,0,0,0,6075,11840,3335,83.333333,91.666667,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
despues_C_alpha_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,51,6,4,2,0,66.666667,33.333333,0,0.333333,0.413313,0.44836,82.662539,89.275671,6.038692,4.972621,1.066071,1.006449,0.82877,0.177679,1.154617,0.192436,116.208884,1,3,0.666667,2,0.333333,1,0,0,0.6,1,0.75,0.447214,0.666667,0.6,0.666667,0.333333,0.666667,0.333333,0.8,0.666667,0.625,0.447214,0.666667,0.633333,0.625,0.666667,0.001,0,0,0,0,0,4255,11840,3335,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
despues_C_alpha_HM_AMB,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,51,6,3,3,0,50,50,0,0,0.489407,0.571609,97.881451,113.816408,6.038692,7.643825,-1.605133,1.006449,1.273971,-0.267522,0.103093,0.017182,10.376062,0.666667,2,0.666667,2,0.333333,1,0.333333,1,0.5,0.666667,0.571429,0,0.555556,0.533333,0.5,0.5,0.5,0.5,0.5,0.5,0.485714,0,0.555556,0.6,0.485714,0.5,0.002,0,0,0,0,0,4983,11840,3335,100,100,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
despues_C_alpha_HM_AMB,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,51,6,4,2,0,66.666667,33.333333,0,0.333333,0.384544,0.509269,76.908795,101.403481,6.038692,6.531921,-0.493229,1.006449,1.088654,-0.082205,1.501759,0.250293,151.147664,0.666667,2,0.333333,1,0.666667,2,0.333333,1,0.666667,0.666667,0.666667,0.333333,0.666667,0.588889,0.666667,0.333333,0.666667,0.333333,0.666667,0.666667,0.666667,0.333333,0.666667,0.655556,0.666667,0.666667,0.002,0,0.01,0,10,0,6075,11840,3335,100,91.666667,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
despues_C_alpha_HM_AMB,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,51,6,3,3,0,50,50,0,0,0.5,0.509061,100,101.362223,6.038692,6.162103,-0.123411,1.006449,1.027017,-0.020568,-0,-0,-0,1,3,1,3,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,4255,11840,3335,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
despues_C_alpha_HM_AMB,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,51,6,2,4,0,33.333333,66.666667,0,-0.333333,0.567292,0.603311,113.458311,120.128813,6.038692,8.407506,-2.368814,1.006449,1.401251,-0.394802,-0.921367,-0.153561,-92.732949,0.666667,2,1,3,0,0,0.333333,1,0.4,0.666667,0.5,-0.447214,0.444444,0.5,0.333333,0.666667,0.333333,0.666667,0.2,0.333333,0.25,-0.447214,0.444444,0.5,0.25,0.333333,0.002,0,0,0,0,0,4619,11840,3335,100,100,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
despues_C_alpha_HM_AMB,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,51,6,4,2,0,66.666667,33.333333,0,0.333333,0.395949,0.504716,79.1898,100.497003,6.038692,7.332843,-1.29415,1.006449,1.22214,-0.215692,1.395802,0.232634,140.483483,0.666667,2,0.333333,1,0.666667,2,0.333333,1,0.666667,0.666667,0.666667,0.333333,0.722222,0.833333,0.666667,0.333333,0.666667,0.333333,0.666667,0.666667,0.666667,0.333333,0.722222,0.736111,0.666667,0.666667,0.002,0,0.01,0,10,0,4619,11840,3335,83.333333,83.333333,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
despues_C_alpha_HM_AMB,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,52,5,3,2,0,60,40,0,0,0.480162,0.489899,97.476485,99.184325,4.912782,4.854763,0.058019,0.982556,0.970953,0.011604,0.157993,0.031599,15.862104,1,3,1,2,0,0,0,0,0.6,1,0.75,0,0.5,0.6,0.6,0.6,0.4,0.4,0.36,0.6,0.45,0,0.5,0.52,0.375,0.6,0.001,0,0,0,0,0,4255,12029,3146,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
despues_C_alpha_HM_AMB,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2249,52,5,3,2,0,60,40,0,0,0.4,0.632456,81.203008,128.046238,4.912782,2148,-2143.087218,0.982556,429.6,-428.617444,0.896907,0.179381,90.047386,1,3,1,2,0,0,0,0,0.6,1,0.75,0,0.5,0.6,0.6,0.6,0.4,0.4,0.36,0.6,0.45,0,0.5,0.52,0.375,0.6,0.002,0,0,0,0,0,6803,12029,3146,60,50,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
