@relation InstanceResultListener

@attribute Key_Dataset {durante_C_alpha_HM_AMB,durante_C_beta_HM_AMB,durante_C_delta_HM_AMB,durante_C_gamma_HM_AMB,durante_C_sf_HM_AMB,durante_C_theta_HM_AMB,durante_E_alpha_HM_AMB,durante_E_beta_HM_AMB,durante_E_delta_HM_AMB,durante_E_gamma_HM_AMB,durante_E_sf_HM_AMB,durante_E_theta_HM_AMB,durante_Gio_alpha_HM_AMB,durante_Gio_beta_HM_AMB,durante_Gio_delta_HM_AMB,durante_Gio_gamma_HM_AMB,durante_Gio_sf_HM_AMB,durante_Gio_theta_HM_AMB}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 10\nSize of the tree: 19\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

durante_C_alpha_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,51,6,4,2,0,66.666667,33.333333,0,0.4,0.375987,0.561119,76.643459,114.213027,5.850391,1077.916767,-1072.066377,0.975065,179.652795,-178.677729,1.412675,0.235446,141.594898,0.5,2,0,0,1,2,0.5,2,1,0.5,0.666667,0.5,0.6875,0.854167,0.666667,0.166667,0.833333,0.333333,0.833333,0.666667,0.666667,0.5,0.6875,0.736111,0.666667,0.666667,0.002,0,0,0,0,0,5711,11840,3335,83.333333,75,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_alpha_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,51,6,0,6,0,0,100,0,-1,0.905057,0.913346,181.011304,181.861743,6.038692,3229.902039,-3223.863347,1.006449,538.317007,-537.310558,-5.084556,-0.847426,-511.745927,0,0,1,3,0,0,1,3,0,0,0,-1,0,0.383333,0,1,0,1,0,0,0,-1,0,0.4,0,0,0.001,0,0,0,0,0,6439,11840,3335,50,75,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
durante_C_alpha_HM_AMB,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,51,6,4,2,0,66.666667,33.333333,0,0.333333,0.495978,0.56007,99.195595,111.518852,6.038692,8.635424,-2.596732,1.006449,1.439237,-0.432789,0.110821,0.01847,11.153864,0.333333,1,0,0,1,3,0.666667,2,1,0.333333,0.5,0.447214,0.5,0.633333,0.666667,0.333333,0.666667,0.333333,0.8,0.666667,0.625,0.447214,0.5,0.616667,0.625,0.666667,0.001,0,0,0,0,0,4619,11840,3335,83.333333,91.666667,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
durante_C_alpha_HM_AMB,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,51,6,2,4,0,33.333333,66.666667,0,-0.333333,0.632806,0.738069,126.561244,146.961327,6.038692,1083.511546,-1077.472853,1.006449,180.585258,-179.578809,-1.673485,-0.278914,-168.431403,0.666667,2,1,3,0,0,0.333333,1,0.4,0.666667,0.5,-0.447214,0.333333,0.444444,0.333333,0.666667,0.333333,0.666667,0.2,0.333333,0.25,-0.447214,0.333333,0.472222,0.25,0.333333,0.001,0,0,0,0,0,6075,11840,3335,83.333333,91.666667,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
durante_C_alpha_HM_AMB,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,51,6,3,3,0,50,50,0,0,0.521148,0.682667,104.229677,135.929827,6.038692,1082.48167,-1076.442977,1.006449,180.413612,-179.407163,-0.201796,-0.033633,-20.310156,0.666667,2,0.666667,2,0.333333,1,0.333333,1,0.5,0.666667,0.571429,0,0.277778,0.444444,0.5,0.5,0.5,0.5,0.5,0.5,0.485714,0,0.277778,0.455556,0.485714,0.5,0.001,0,0,0,0,0,6803,11840,3335,83.333333,83.333333,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
durante_C_alpha_HM_AMB,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,51,6,4,2,0,66.666667,33.333333,0,0.333333,0.380515,0.546713,76.10306,108.859236,6.038692,9.029303,-2.990611,1.006449,1.504884,-0.498435,1.559725,0.259954,156.981797,0.666667,2,0.333333,1,0.666667,2,0.333333,1,0.666667,0.666667,0.666667,0.333333,0.666667,0.722222,0.666667,0.333333,0.666667,0.333333,0.666667,0.666667,0.666667,0.333333,0.666667,0.655556,0.666667,0.666667,0.001,0,0,0,0,0,5711,11840,3335,83.333333,83.333333,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_alpha_HM_AMB,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,51,6,3,3,0,50,50,0,0,0.5,0.564136,100,112.328471,6.038692,7.379908,-1.341215,1.006449,1.229985,-0.223536,-0,-0,-0,1,3,1,3,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.002,0,0,0,0,0,5347,11840,3335,100,100,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
durante_C_alpha_HM_AMB,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,52,5,3,2,0,60,40,0,0.166667,0.406289,0.58638,82.479818,118.717786,4.912782,1076.907661,-1071.994879,0.982556,215.381532,-214.398976,0.85787,0.171574,86.12824,0.666667,2,0.5,1,0.5,1,0.333333,1,0.666667,0.666667,0.666667,0.166667,0.583333,0.638889,0.6,0.433333,0.566667,0.4,0.6,0.6,0.6,0.166667,0.583333,0.663333,0.583333,0.6,0.002,0,0,0,0,0,6075,12029,3146,80,80,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
durante_C_alpha_HM_AMB,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2237,52,5,3,2,0,60,40,0,0,0.416514,0.614275,84.555548,124.365375,4.912782,10.4015,-5.488718,0.982556,2.0803,-1.097744,0.770025,0.154005,77.308803,1,3,1,2,0,0,0,0,0.6,1,0.75,0,0.416667,0.7,0.6,0.6,0.4,0.4,0.36,0.6,0.45,0,0.416667,0.586667,0.375,0.6,0.002,0,0.01,0,10,0,6803,12029,3146,60,60,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
