despues_E_alpha_1,despues_E_alpha_2,despues_E_alpha_3,despues_E_alpha_4,despues_E_alpha_5,despues_E_alpha_6,despues_E_alpha_7,despues_E_alpha_8,despues_E_alpha_9,despues_E_alpha_10,despues_E_alpha_11,despues_E_alpha_12,despues_E_alpha_13,despues_E_alpha_14,despues_E_alpha_15,despues_E_alpha_16,despues_E_alpha_17,despues_E_alpha_18,despues_E_alpha_19,Clase
29,55,45,37,41,52,65,37,67,27,21,34,44,28,21,21,14,13,33,H
8,44,51,45,47,3,0,13,51,40,40,20,53,55,46,1,23,11,1,H
9,1,13,2,1,5,0,2,12,12,6,12,8,12,3,2,6,2,3,H
8,29,48,13,13,20,34,10,34,36,27,3,38,40,13,6,6,29,13,H
30,15,34,42,27,41,39,50,12,9,17,22,53,17,45,33,9,9,39,H
1,1,2,3,2,4,0,2,6,14,10,0,12,10,9,4,3,0,4,M
17,2,0,6,9,12,8,5,13,1,12,3,14,17,17,11,22,12,20,H
6,26,16,36,27,5,7,25,31,37,41,24,31,16,7,26,2,2,4,H
1,32,25,26,12,0,20,11,24,32,18,17,24,27,21,12,2,1,7,H
120,120,120,120,0,120,120,120,120,120,0,120,120,120,120,120,120,120,120,H
6,48,36,49,0,28,0,0,66,56,63,59,27,56,56,0,51,48,26,M
15,35,40,32,1,19,19,43,47,47,38,1,53,31,28,17,2,2,4,M
32,21,47,12,3,32,30,3,32,34,20,36,33,23,20,9,29,18,16,H
1,8,6,21,15,2,2,5,22,17,22,12,10,20,21,10,13,15,15,M
42,20,31,10,17,15,0,0,38,32,56,40,57,45,50,27,0,19,23,M
28,24,36,14,25,29,0,17,34,6,13,20,27,1,16,9,20,35,15,H
7,39,45,33,41,4,42,22,52,53,46,13,33,53,17,21,40,19,8,H
8,10,20,25,25,3,0,0,13,32,31,8,9,26,31,31,0,21,34,M
13,6,9,7,0,13,10,10,9,7,8,5,4,16,20,16,19,16,13,M
13,69,69,49,1,57,49,45,66,64,51,29,4,64,2,2,27,33,59,H
6,16,42,27,5,13,44,40,16,29,34,2,13,1,31,11,2,31,33,M
15,6,19,19,14,19,9,0,20,18,19,16,25,18,27,19,19,2,13,H
6,0,12,5,3,25,0,0,21,25,9,29,24,22,1,0,21,4,0,M
22,23,27,6,15,11,13,18,19,18,25,20,10,25,20,15,10,0,15,M
1,1,4,16,6,5,1,10,2,7,21,3,10,12,10,3,1,2,8,M
4,3,3,17,19,4,0,6,4,16,19,1,0,10,19,15,0,0,4,H
3,3,2,17,17,7,3,0,15,19,20,3,0,22,21,0,12,1,6,H
32,39,39,23,15,35,6,24,40,45,15,24,32,22,16,4,32,6,4,M
16,11,3,12,17,11,8,17,3,0,8,4,4,3,5,3,6,0,1,H
60,35,33,60,3,1,1,22,53,47,60,48,47,3,39,27,33,0,37,M
43,54,43,4,34,23,5,0,50,42,40,34,29,29,17,8,34,4,32,M
35,21,10,28,18,14,1,27,30,30,25,21,39,18,17,15,26,6,6,M
15,17,50,40,29,0,0,45,34,30,23,14,34,13,35,18,2,0,0,M
23,41,38,52,12,34,32,21,61,51,50,44,25,11,52,43,44,8,21,H
113,113,104,113,93,113,76,113,113,91,6,101,113,101,116,0,100,75,113,M
1,23,29,50,10,28,43,46,30,3,9,0,38,17,24,14,12,44,14,M
14,5,13,21,14,4,2,2,7,11,28,3,9,15,22,21,4,16,29,M
46,40,37,21,13,34,14,5,49,41,41,24,27,8,55,25,10,10,10,M
14,6,19,34,33,22,28,18,15,28,38,8,5,26,38,31,3,11,19,M
23,42,3,21,28,16,2,17,19,28,24,21,39,37,36,7,37,32,9,H
18,41,38,46,15,27,41,33,37,18,54,14,40,41,7,5,10,13,3,H
65,80,29,68,21,85,74,75,79,17,8,55,65,79,97,6,79,85,88,H
