despues_E_beta_1,despues_E_beta_2,despues_E_beta_3,despues_E_beta_4,despues_E_beta_5,despues_E_beta_6,despues_E_beta_7,despues_E_beta_8,despues_E_beta_9,despues_E_beta_10,despues_E_beta_11,despues_E_beta_12,despues_E_beta_13,despues_E_beta_14,despues_E_beta_15,despues_E_beta_16,despues_E_beta_17,despues_E_beta_18,despues_E_beta_19,Sujeto,Clase
1,0,15,16,10,0,1,13,6,12,22,4,4,14,22,8,3,0,5,A10GUAC,H
0,9,24,26,10,1,0,18,26,29,22,13,21,29,30,14,13,0,0,A11BRCA,H
6,0,25,13,18,0,0,0,22,26,13,15,13,10,3,3,10,0,0,A13RIVI,H
17,4,40,24,0,3,28,6,20,42,39,21,36,42,32,0,0,42,3,A14RARO,H
4,9,33,31,20,1,0,26,12,25,32,8,10,21,31,20,3,1,31,A15GOGA,H
6,10,11,12,4,15,0,12,29,22,35,26,26,21,20,7,15,0,17,A17MUSI,H
1,0,10,19,0,0,0,15,23,23,20,0,8,23,20,1,5,5,1,A18RURI,M
1,1,26,36,33,1,0,11,28,39,43,0,26,39,43,43,2,0,21,A21AGLO,H
1,0,0,9,6,0,0,0,8,17,17,0,2,7,14,12,0,0,6,A22SAHE,H
105,116,105,116,0,116,105,116,116,118,66,116,105,118,116,116,116,3,118,A24FLMA,H
0,0,16,19,0,8,0,0,17,24,23,9,0,14,13,6,5,13,16,A27HECE,M
6,6,19,16,9,6,6,13,6,8,12,10,7,3,18,14,3,3,15,A28TOPA,M
1,3,0,9,8,1,1,9,12,10,14,3,5,5,10,12,1,0,4,A8ESSAI,M
3,16,10,2,3,16,16,2,22,22,1,5,13,11,4,1,8,10,0,B11SUPR,H
3,42,60,49,32,21,13,27,54,58,69,1,22,54,49,59,2,8,58,B14FOVA,M
36,1,35,6,1,21,8,55,37,34,0,3,49,47,56,14,34,23,29,B17ARTO,M
48,57,4,6,1,64,48,6,44,63,56,49,14,56,0,27,61,61,64,B18CASI,H
2,0,0,0,2,3,1,1,3,9,7,3,6,8,4,3,2,3,0,B22VIPU,H
16,0,40,6,36,20,3,15,45,26,31,16,14,23,35,24,13,20,37,B23VEZE,M
1,0,5,9,0,10,1,8,2,9,22,1,1,7,10,9,0,7,12,B24CECU,H
0,0,6,8,1,0,0,2,6,6,7,0,0,0,1,1,0,0,1,B5ARMON,M
0,12,19,26,10,4,7,16,11,31,36,8,25,31,33,22,3,11,22,B6SOMOD,M
10,27,2,23,14,24,0,11,38,30,27,11,24,20,32,7,6,4,8,B8RAMOM,H
0,3,3,13,7,1,2,7,4,7,12,0,3,13,7,8,0,0,0,M9BENIE,H
5,7,14,21,14,1,0,10,6,19,24,5,1,4,12,21,0,1,15,M10CAUR,M
6,6,19,23,28,14,1,10,18,32,29,6,0,29,29,32,3,3,15,M11BADE,M
0,1,5,3,1,0,0,0,3,8,5,1,1,1,4,0,0,0,0,M13FECA,M
1,21,25,24,24,6,3,40,40,36,52,34,40,20,8,17,38,9,3,M16ARVE,M
11,17,11,2,3,9,1,5,23,17,4,13,19,12,7,2,2,1,0,M17GOSE,M
2,7,10,9,7,4,2,4,8,8,16,2,6,10,8,7,6,7,3,M18HUME,M
1,6,15,32,28,7,2,16,18,37,37,0,0,34,25,27,1,1,25,M19NAMO,H
0,82,74,72,62,80,1,71,59,72,64,28,82,71,82,34,6,0,62,M21SANA,M
0,18,33,26,2,20,8,7,27,24,0,0,29,15,28,2,3,6,4,M22HUGU,M
0,28,35,36,21,0,1,11,31,29,38,0,30,5,19,38,3,0,5,M23SACA,M
3,0,8,11,12,0,0,8,6,14,18,2,2,9,7,3,2,3,0,M25MAVI,M
0,0,22,24,19,0,3,12,3,9,26,1,2,5,24,15,0,0,15,M28NUCO,M
1,13,20,41,23,8,0,7,9,42,31,22,13,27,37,19,0,18,23,M3ESDIR,H
33,36,54,25,33,37,50,31,28,17,26,28,28,1,12,16,40,0,6,M7FLSAA,H
18,13,24,18,6,9,3,10,21,35,23,1,4,11,27,17,3,9,12,M8AVGUK,H
7,34,46,50,31,50,0,29,42,54,24,8,10,29,43,15,3,0,50,M9SAAND,H
