despues_E_delta_1,despues_E_delta_2,despues_E_delta_3,despues_E_delta_4,despues_E_delta_5,despues_E_delta_6,despues_E_delta_7,despues_E_delta_8,despues_E_delta_9,despues_E_delta_10,despues_E_delta_11,despues_E_delta_12,despues_E_delta_13,despues_E_delta_14,despues_E_delta_15,despues_E_delta_16,despues_E_delta_17,despues_E_delta_18,despues_E_delta_19,Sujeto,Clase
20,23,19,22,9,24,19,14,22,20,15,24,24,14,5,14,23,24,10,A10GUAC,H
105,121,105,111,127,21,61,76,127,127,121,100,121,121,111,116,77,66,100,A11BRCA,H
14,21,35,60,55,30,55,56,13,64,49,14,4,44,49,35,42,42,41,A13RIVI,H
132,105,132,132,132,1,132,133,132,132,119,132,119,132,132,92,132,132,118,A14RARO,H
41,47,54,25,18,34,21,29,47,54,25,41,47,52,23,20,45,51,37,A17MUSI,H
59,50,101,101,8,15,68,90,106,101,105,90,101,83,74,96,74,57,55,A18RURI,M
112,0,66,99,99,112,94,99,101,94,99,62,95,94,106,106,31,18,106,A1ARVAE,H
76,48,51,74,86,80,0,85,76,13,56,21,86,60,76,71,57,0,76,A21AGLO,H
46,38,11,8,26,41,4,10,46,41,10,46,46,47,13,18,39,34,10,A22SAHE,H
125,129,129,136,66,111,129,129,129,129,28,111,136,129,125,115,125,115,136,A24FLMA,H
12,21,56,49,48,12,2,42,45,53,38,3,29,46,20,63,3,60,67,A27HECE,M
50,39,0,41,1,1,36,29,30,50,57,56,30,15,52,41,11,9,43,A28TOPA,M
116,126,126,117,126,67,126,126,115,126,116,116,55,115,126,116,1,115,115,A52CUCA,H
9,33,29,15,6,30,36,33,32,42,15,6,32,50,35,24,24,40,34,B12LARA,H
1,13,12,12,11,2,2,4,12,10,10,6,4,3,10,11,11,2,11,B13VIGA,H
34,43,43,6,24,30,33,30,48,31,11,8,48,36,11,30,14,4,14,B14FOVA,M
8,46,46,4,5,46,50,24,38,1,6,23,50,39,7,7,28,38,35,B17ARTO,M
6,55,55,79,79,56,55,55,74,74,68,79,19,84,18,8,29,44,50,B18CASI,H
93,93,76,93,72,0,87,87,83,21,0,90,90,58,90,93,83,87,6,B20RORA,M
121,120,120,0,120,1,120,120,120,120,120,121,120,120,120,120,120,120,120,B22VIPU,H
13,7,51,4,7,34,32,13,39,41,31,23,38,47,21,3,40,30,6,B23VEZE,M
10,12,10,13,26,18,15,31,13,28,18,8,14,29,31,24,12,22,26,B25MEVI,M
16,31,30,70,49,2,9,36,23,64,59,36,59,59,36,26,54,48,64,B5ARMON,M
10,30,72,66,66,35,90,75,87,72,78,20,69,78,72,80,14,9,66,B6SOMOD,M
35,41,32,34,52,12,17,29,35,44,29,11,24,0,57,40,3,14,31,B7MESEA,H
34,17,19,40,45,26,40,34,18,4,36,36,8,36,50,40,25,20,36,M9BENIE,H
16,29,25,37,17,8,4,29,16,37,30,33,15,33,35,17,13,24,29,M11BADE,M
20,15,3,22,14,1,10,4,6,1,17,8,15,14,17,12,4,18,3,M13FECA,M
54,67,76,48,43,59,5,44,76,60,76,7,65,76,60,67,3,2,39,M16ARVE,M
19,18,28,15,8,8,22,7,29,20,19,22,33,20,10,8,22,21,1,M17GOSE,M
118,111,111,89,10,66,111,32,118,118,100,111,118,111,111,89,88,77,111,M18HUME,M
76,66,31,72,82,10,54,79,83,6,46,58,64,79,79,83,0,0,64,M19NAMO,H
25,46,44,39,57,9,10,57,53,58,13,61,47,51,66,17,23,61,13,M21SANA,M
33,34,81,84,45,50,10,73,93,93,44,57,92,51,101,77,75,71,87,M22HUGU,M
26,35,46,27,27,26,52,47,46,41,21,26,51,46,27,36,15,0,47,M23SACA,M
0,5,50,58,72,40,8,50,47,58,67,18,51,56,67,67,12,79,50,M25MAVI,M
8,66,72,68,54,16,0,72,38,68,61,11,47,54,68,54,3,45,68,M28NUCO,M
29,16,4,15,23,26,14,26,23,1,18,20,21,6,25,22,16,17,23,M3ESDIR,H
73,73,62,72,20,70,35,68,74,0,64,9,67,66,76,15,35,15,84,M8AVGUK,H
36,100,49,108,83,108,66,76,108,91,76,35,86,85,74,93,66,1,108,M9SAAND,H
