despues_E_sf_1,despues_E_sf_2,despues_E_sf_3,despues_E_sf_4,despues_E_sf_5,despues_E_sf_6,despues_E_sf_7,despues_E_sf_8,despues_E_sf_9,despues_E_sf_10,despues_E_sf_11,despues_E_sf_12,despues_E_sf_13,despues_E_sf_14,despues_E_sf_15,despues_E_sf_16,despues_E_sf_17,despues_E_sf_18,despues_E_sf_19,Clase
0,7,24,22,17,0,3,24,6,20,27,0,2,25,22,4,0,0,4,H
0,8,16,13,12,0,0,6,15,23,17,7,17,12,14,6,5,0,0,H
2,3,17,11,12,1,1,4,9,18,8,2,6,5,11,6,2,4,7,H
23,8,52,28,10,22,29,10,19,44,35,7,13,29,46,30,0,22,23,H
0,8,8,20,3,2,0,7,8,16,24,1,11,21,20,5,1,1,6,H
2,1,11,18,12,3,1,2,11,21,18,0,4,19,26,20,3,9,8,M
18,1,1,43,21,3,6,40,13,17,26,12,25,23,20,15,4,3,33,H
0,2,38,31,33,0,0,20,20,33,41,0,7,35,41,33,0,0,26,H
4,10,3,17,4,0,0,1,20,19,21,0,6,23,20,24,5,0,6,H
62,83,95,95,0,85,51,98,95,95,6,64,73,95,84,78,88,0,73,H
2,7,12,10,1,0,2,18,17,21,26,8,14,7,18,15,5,0,6,M
3,3,4,8,3,0,0,4,7,10,7,5,6,7,6,1,0,0,1,H
0,0,2,13,7,4,0,6,6,6,10,0,1,5,11,9,0,0,7,M
1,12,39,3,10,15,17,9,29,34,24,14,42,42,33,15,27,9,15,M
0,2,12,5,7,3,2,8,5,8,20,5,4,16,22,3,10,1,11,H
3,3,10,0,6,3,0,5,7,6,11,2,7,4,10,10,2,1,3,H
0,18,10,31,17,0,3,20,19,32,25,0,0,27,42,38,0,10,38,M
6,0,28,9,0,29,18,18,28,16,0,0,5,27,29,11,17,5,3,M
2,8,11,13,17,3,7,11,15,32,23,3,0,15,0,5,14,13,15,H
3,5,24,5,9,10,1,26,37,32,37,18,13,27,45,27,2,15,42,M
12,0,22,0,2,4,0,1,16,19,18,5,15,21,15,15,8,1,0,H
4,0,20,1,19,1,1,9,10,7,15,4,1,6,21,13,4,10,13,M
49,66,58,1,25,55,36,23,55,66,38,40,50,62,58,16,20,42,14,M
0,5,15,21,10,0,2,13,7,22,26,0,3,19,26,24,0,1,16,M
14,13,35,37,40,18,3,18,60,18,50,22,16,51,53,33,49,39,46,H
0,0,13,18,15,0,0,5,2,17,22,0,0,22,17,25,0,0,9,H
8,18,35,28,29,5,0,27,26,44,39,1,1,9,23,28,0,1,14,M
0,7,16,14,1,0,0,9,12,20,17,1,2,6,15,3,0,0,0,M
5,23,16,6,2,14,5,8,17,19,26,2,11,15,7,4,14,13,0,M
19,29,40,12,24,21,14,18,30,25,30,16,34,33,20,17,18,11,6,M
6,17,18,11,8,9,2,8,13,21,22,3,11,21,9,14,11,0,0,M
0,5,7,20,21,0,0,3,13,26,33,0,0,20,23,19,3,1,16,H
3,24,9,39,17,17,0,17,8,31,13,2,17,15,30,1,5,0,16,M
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,M
3,12,22,12,14,0,1,19,11,20,25,0,9,24,18,14,0,0,3,M
5,0,5,9,6,0,0,0,2,8,14,1,1,3,8,5,0,0,2,M
1,16,18,26,21,0,0,17,23,30,36,3,8,21,33,17,0,0,9,M
0,5,15,19,2,0,0,3,15,20,20,0,0,17,16,3,0,0,15,H
6,7,28,26,12,12,6,13,24,37,22,0,0,28,28,19,0,3,11,H
13,33,14,20,24,29,0,20,33,44,26,3,6,39,37,19,1,0,29,H
