despues_Gio_delta_1,despues_Gio_delta_2,despues_Gio_delta_3,despues_Gio_delta_4,despues_Gio_delta_5,despues_Gio_delta_6,despues_Gio_delta_7,despues_Gio_delta_8,despues_Gio_delta_9,despues_Gio_delta_10,despues_Gio_delta_11,despues_Gio_delta_12,despues_Gio_delta_13,despues_Gio_delta_14,despues_Gio_delta_15,despues_Gio_delta_16,despues_Gio_delta_17,despues_Gio_delta_18,despues_Gio_delta_19,Clase
6.6993,6.9618,6.4143,7.2042,5.2164,6.1503,6.0012,5.471,6.6108,6.8763,6.3818,6.8391,6.859,5.2565,3.063,5.4826,7.0762,6.1598,4.3705,H
13.0866,14.1975,12.6623,12.6704,14.3544,5.3573,9.2908,9.9909,15.4483,15.2869,14.2928,12.4552,14.3663,14.7186,13.156,13.7634,10.5809,9.0006,12.1512,H
4.6077,5.9456,7.6953,10.4119,9.7682,7.3523,9.9732,10.1967,5.2793,10.8217,8.7101,4.631,3.184,8.7555,9.294,6.445,8.9172,8.0519,7.0762,H
15.842,12.5419,16.0056,16.0877,15.724,1.7069,16.0406,16.2568,16.1336,15.352,15.0277,16.0747,14.6855,16.0129,16.1591,12.4578,15.8383,15.9909,14.7162,H
8.4014,9.4324,10.5413,6.3879,4.6951,7.7002,4.932,6.8687,9.3632,10.2402,6.0726,8.5847,9.4658,10.3331,6.2615,5.2677,9.1434,9.0859,8.272,H
9.3807,8.5174,13.3953,13.3168,3.3064,4.6222,10.6502,12.3166,13.8773,13.4485,13.6866,12.5868,13.2482,11.4746,10.0101,12.468,10.0827,8.6251,8.4312,M
12.4393,0.62832,9.7668,12.5006,12.058,13.254,12.0041,12.5261,11.9776,11.2807,12.5261,8.9922,11.6852,11.785,13.0835,12.5934,6.4112,4.9216,13.3377,H
10.7884,8.5314,7.9308,10.9302,12.4446,11.2922,0.73571,12.3005,11.2944,4.159,9.3195,5.499,12.3173,10.5999,11.213,10.8074,8.4093,1.4435,10.8118,H
9.0858,8.0792,4.9136,4.0934,6.484,8.4671,2.4223,4.4767,8.953,8.5305,4.6687,9.3005,9.3815,9.1607,5.797,6.3269,8.0505,7.1816,4.5339,H
15.6775,16.2917,16.1718,17.0338,10.6844,14.6813,16.0281,16.1728,16.0827,16.199,6.9602,14.7061,17.1346,15.8576,16.0734,14.8924,16.1726,14.6687,17.1582,H
5.3591,5.7731,10.2066,9.0283,8.6643,5.3508,1.9741,7.9728,8.9813,9.5862,8.1563,2.6302,6.7232,9.8332,5.4387,10.7084,2.6547,10.1024,11.6143,M
8.095,7.8643,1.4693,7.4488,1.3447,2.2196,7.1472,7.2991,7.264,8.8298,10.1721,9.8926,7.4157,4.7444,9.6201,7.8104,5.2364,4.755,8.5435,M
11.8708,13.9419,14.3954,14.1582,14.7174,9.398,13.8713,14.7478,13.1966,14.7365,13.9005,12.1661,8.5106,13.9496,14.5399,13.7647,1.415,12.9531,13.7848,H
4.6465,8.5013,7.1602,5.0795,2.7079,8.5481,8.6429,7.8631,8.9697,9.6294,5.1068,3.2904,9.0109,10.3644,8.6903,6.4904,6.7343,9.1837,8.3798,H
1.4661,5.4194,5.2864,4.9396,5.1974,2.064,2.164,2.901,5.4246,5.1275,5.2241,3.6564,3.2301,3.2931,4.67,5.1004,4.6709,2.8247,5.1326,H
7.8788,8.8033,8.4626,3.0189,6.5931,7.0398,8.5974,6.9782,9.4704,7.0714,5.1574,4.3785,9.0979,8.7332,4.6497,6.5998,5.1267,2.5062,4.4593,M
4.0877,9.2699,9.395,2.7368,3.5633,8.3873,9.8599,6.9234,8.362,2.1763,3.4595,5.3629,9.9064,8.5812,3.8025,3.8543,6.0457,8.5904,7.8471,M
3.5919,9.0134,9.4508,12.1666,11.819,8.8501,8.9329,9.1797,11.5345,11.8259,10.5381,11.3957,5.1234,12.6438,5.8401,3.4128,6.946,8.5931,10.0517,H
11.7413,12.6953,10.6161,11.1823,10.0238,1.6143,10.8394,12.1769,11.5569,5.6675,1.3068,12.1139,11.7293,9.2569,12.2598,12.3073,11.6371,12.2825,3.6775,M
12.9507,13.0395,12.2281,0,13.0052,1.1725,12.3499,13.2131,13.9571,13.6889,13.2286,12.8964,13.1055,13.7297,13.5463,13.1086,12.7949,12.7556,13.5398,H
5.7131,3.8718,9.2013,3.4465,4.0248,7.5138,6.6632,5.9409,8.2807,8.3527,7.3252,6.1728,7.4669,9.1634,5.9008,3.1904,7.6565,7.0069,3.5786,M
4.7746,5.0999,4.8168,4.9842,7.3528,5.8473,5.6118,7.1775,5.6078,7.3519,6.253,4.6573,5.9311,7.6324,7.6937,6.5237,4.8349,5.7368,6.8854,M
5.4294,7.705,7.7771,11.9697,9.0529,1.9938,3.6441,7.2815,6.2932,10.666,10.5205,7.4013,10.2784,10.8197,8.4724,6.7484,9.6998,9.1769,11.0011,M
4.7535,7.466,10.8152,10.4349,10.6548,8.5144,12.9535,11.716,12.6512,11.5775,12.1634,6.3002,10.89,12.1277,11.0286,12.667,5.1802,3.6526,9.41,M
7.8489,8.8281,7.2823,8.2935,9.3987,5.0446,5.0523,7.4417,7.7862,8.5864,7.0679,4.9983,6.1693,1.4298,10.0992,8.4164,2.7723,3.8558,7.1867,H
7.6645,5.2292,5.8458,8.5152,9.3918,6.8472,9.2019,7.7852,6.5026,2.7663,8.9296,8.3737,3.6624,7.9524,10.2519,9.2937,6.2557,5.6304,8.5416,H
5.826,7.1933,7.3542,8.3607,5.1405,4.4083,2.7724,6.9167,5.6657,7.7395,7.7214,7.5894,5.057,7.7602,8.3197,4.908,5.3467,5.924,6.8683,M
6.6144,5.7953,2.2373,7.3467,5.4587,1.4867,4.9288,2.6291,3.6396,1.3578,6.2006,4.3517,6.1782,5.3354,6.154,5.196,2.7493,6.4383,2.0494,M
9.574,10.7105,11.5876,8.7724,7.9622,10.4221,3.7472,8.428,11.9443,10.4363,11.626,3.9286,10.7303,11.9295,9.8778,10.5717,1.8648,2.0733,8.3643,M
6.1298,5.4833,7.0378,5.0046,3.9308,4.095,5.6193,3.6601,7.1857,5.9639,6.3591,6.1667,8.0639,5.8741,4.9929,4.255,6.4087,5.7332,1.6031,M
16.0614,15.1211,15.0301,13.8763,4.7152,11.1137,14.7947,8.1539,16.0216,15.8747,14.8266,14.9565,15.9447,14.9595,15.8498,13.7703,12.9079,12.0649,14.8227,M
11.3219,10.196,7.4233,11.2556,12.054,3.6687,8.4047,11.8096,12.4774,3.013,9.245,9.2956,9.5592,11.6824,11.8884,12.5857,0.65093,0.65093,9.8481,H
6.2388,8.1693,7.9835,7.9424,9.2986,3.9206,4.5376,8.9129,8.9331,10.1804,5.2215,10.087,9.4003,8.9147,10.2972,5.8431,6.7613,9.561,4.8965,M
7.8367,7.5807,13.1966,13.2042,9.1996,9.8376,4.0267,11.7423,13.9906,13.7141,8.5978,10.1635,14.0618,9.5332,14.951,12.1265,12.0712,11.6947,13.4568,M
6.1165,8.1256,9.0795,6.521,6.8022,6.242,9.3047,9.4449,9.5183,8.3068,5.801,6.3035,9.9055,9.6524,6.8802,8.1502,5.0401,0.62099,9.3408,M
0,2.7836,8.9923,9.9491,11.1747,8.0482,3.8254,9.0399,7.5768,9.6548,10.5042,5.2883,8.9383,9.1545,10.3072,10.4857,4.7228,11.2668,8.2471,M
3.9657,10.825,11.3484,10.7081,9.3726,5.2525,1.4782,11.3513,8.1594,10.4584,10.1724,4.7375,9.136,8.8498,10.8918,9.5341,2.9091,8.181,10.799,M
8.3297,5.2286,2.9189,5.3231,6.7874,7.5562,4.6069,7.2417,6.4262,2.0468,6.2677,5.602,6.3503,3.8255,7.3223,6.678,5.6184,7.1341,6.7898,H
13.2327,13.1795,11.3577,13.3265,6.689,13.2066,8.3917,13.2415,13.1839,0.91996,12.355,4.6895,13.1569,13.2586,14.2384,5.7521,9.3045,5.5905,15.1015,H
7.1611,12.8219,8.1183,13.5882,11.2838,13.139,8.1394,9.8385,13.4778,12.44,10.1505,7.2041,11.2664,11.7849,10.3096,12.3876,9.6061,1.3238,13.7272,H
