durante_E_sf_1,durante_E_sf_2,durante_E_sf_3,durante_E_sf_4,durante_E_sf_5,durante_E_sf_6,durante_E_sf_7,durante_E_sf_8,durante_E_sf_9,durante_E_sf_10,durante_E_sf_11,durante_E_sf_12,durante_E_sf_13,durante_E_sf_14,durante_E_sf_15,durante_E_sf_16,durante_E_sf_17,durante_E_sf_18,durante_E_sf_19,Clase
0,1,6,14,3,0,2,0,6,14,13,3,5,11,10,11,6,2,7,H
2,28,31,35,6,0,0,0,32,36,36,0,28,28,32,13,0,2,0,H
0,0,7,4,5,0,4,3,2,7,23,0,3,5,13,3,0,7,7,H
98,91,28,75,66,44,0,74,98,98,27,91,91,98,82,98,59,0,72,H
0,9,19,31,29,1,0,17,18,40,33,0,3,44,38,31,10,3,19,H
0,1,13,21,10,6,1,4,24,20,21,1,5,5,14,11,4,5,5,M
6,5,7,6,11,4,7,14,22,10,19,11,11,5,15,6,1,4,1,H
0,0,4,7,2,0,0,2,1,5,8,0,0,5,5,0,0,0,0,H
0,0,10,16,8,1,1,1,8,23,22,0,4,17,16,13,1,0,9,H
59,27,64,57,0,38,10,54,75,58,2,51,65,63,50,64,75,0,70,H
7,7,19,12,2,7,1,5,8,15,10,0,6,0,7,4,3,0,4,M
1,8,27,27,20,1,0,11,16,24,16,1,12,14,27,6,0,0,11,H
5,9,12,33,20,9,8,23,2,10,16,1,1,3,17,14,9,1,29,M
7,9,8,0,2,4,0,4,17,20,12,9,13,19,10,2,8,3,9,M
0,1,38,6,7,3,4,20,21,20,30,6,24,32,34,9,17,29,32,H
1,0,2,1,3,0,0,1,3,2,5,0,1,7,4,6,0,0,3,H
1,7,32,23,1,0,1,8,17,27,33,0,27,37,35,12,1,15,32,M
29,11,80,57,35,55,65,37,71,72,0,42,83,80,92,74,63,67,76,M
3,14,24,8,6,3,11,22,22,24,22,6,0,25,0,15,1,10,18,H
7,11,14,5,6,1,0,10,9,12,16,5,2,11,10,11,1,2,5,M
10,0,25,10,21,0,0,45,46,53,49,42,36,53,49,39,14,0,21,H
9,3,38,35,44,5,12,29,51,50,54,27,20,54,45,32,16,0,43,M
22,19,5,1,10,13,8,2,26,15,29,23,20,17,19,37,11,7,22,M
3,1,32,27,16,20,23,45,9,26,39,0,3,14,36,33,0,8,34,M
4,15,14,11,10,10,3,8,17,18,3,5,18,25,19,5,1,9,18,H
1,1,21,4,23,1,0,27,28,30,24,2,16,27,9,0,4,17,5,H
4,7,37,35,36,8,1,44,29,41,43,5,0,34,43,35,2,3,34,M
0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,M
11,9,9,14,8,6,5,11,10,9,16,3,6,4,5,0,1,0,2,M
15,21,8,19,6,11,0,2,18,23,10,4,16,4,5,3,3,2,4,M
0,25,15,3,9,1,0,0,13,16,26,0,10,12,14,17,1,0,0,M
1,29,21,32,11,25,0,4,23,33,39,0,7,31,20,24,2,2,5,H
0,0,1,1,0,0,0,0,0,8,9,0,6,9,8,0,0,0,3,M
9,22,20,16,20,3,1,23,26,41,1,2,26,26,30,11,17,3,15,M
0,11,26,22,23,0,3,12,14,37,24,0,18,21,25,20,5,3,15,M
1,0,9,7,1,1,0,0,9,7,8,3,5,2,1,3,3,0,3,M
0,0,13,20,17,0,0,13,3,14,28,0,11,13,22,16,0,0,10,M
0,9,6,4,7,12,0,7,21,17,20,1,14,14,25,3,0,0,5,H
13,10,13,31,31,2,1,8,33,28,25,3,20,28,32,33,4,1,8,H
0,6,9,13,12,3,0,6,14,16,15,0,2,11,16,5,0,1,6,H
