durante_Gio_beta_1,durante_Gio_beta_2,durante_Gio_beta_3,durante_Gio_beta_4,durante_Gio_beta_5,durante_Gio_beta_6,durante_Gio_beta_7,durante_Gio_beta_8,durante_Gio_beta_9,durante_Gio_beta_10,durante_Gio_beta_11,durante_Gio_beta_12,durante_Gio_beta_13,durante_Gio_beta_14,durante_Gio_beta_15,durante_Gio_beta_16,durante_Gio_beta_17,durante_Gio_beta_18,durante_Gio_beta_19,Sujeto,Clase
3.0264,5.4797,7.4476,5.0678,5.6184,1.5154,0.7694,3.8605,6.4208,9.0931,7.7985,7.1145,7.0081,9.0313,6.9546,6.0651,4.7708,3.3846,7.2337,A10GUAC,H
3.7866,6.7979,7.2463,6.177,4.0581,0,0,3.1508,8.4815,7.8417,9.3971,2.2425,6.6794,7.0702,8.4721,3.8955,0.74589,3.7811,0.7262,A11BRCA,H
1.4918,1.5034,3.7407,6.3738,3.787,0.74352,0,3.7045,2.1813,7.1197,6.8163,1.4321,2.2333,5.7783,6.1106,4.3063,0.75774,5.0422,4.2366,A13RIVI,H
14.6661,12.7026,12.1226,13.6862,8.6257,11.2245,0,13.4763,14.8184,14.5969,4.9893,12.4839,13.6471,14.743,14.5157,13.5737,12.2347,0,13.4225,A14RARO,H
0.84172,5.6121,4.7135,4.1385,1.5778,0.9369,0.72629,3.246,4.946,2.9985,4.0231,4.5642,4.1734,2.3991,2.3442,2.3023,3.2067,1.5011,1.5325,A15GOGA,H
2.311,4.0111,3.8606,9.38,7.5095,4.6928,0,3.7713,3.9584,8.5222,8.8709,1.5285,5.6929,7.8736,8.9972,9.9006,5.7552,1.4829,6.4772,A17MUSI,H
0,1.5005,8.9995,9.1469,4.1004,6.1576,5.262,6.1667,8.0383,10.699,6.8618,0.74965,0.74791,7.2061,6.7489,0,4.4855,8.6497,8.3717,A18RURI,M
0,10.0008,12.2712,11.5565,8.6076,11.3455,0.76674,11.096,12.9043,12.5552,11.8083,0,9.7654,13.311,13.3616,10.4867,7.1918,5.4854,12.9271,A21AGLO,H
4.5166,5.4085,7.9042,8.4684,6.1638,1.4999,0,3.2695,6.3153,9.5709,10.4088,1.5142,2.3085,9.0833,9.3333,9.2309,0.81316,0.73366,3.9236,A22SAHE,H
13.786,9.8331,13.9993,14.2025,0.81502,12.7264,12.3106,13.7063,13.8721,14.2717,5.7887,12.4503,13.9233,15.6977,13.9966,14.8301,13.8146,0.8126,14.9719,A24FLMA,H
0,0,7.3553,4.9811,0.75263,0,0,1.4934,6.5165,8.6714,7.6006,0,4.6587,4.9805,7.739,4.7162,3.8238,1.5276,5.5579,A27HECE,M
7.1589,9.6244,7.9463,4.4335,1.4894,9.2083,0,4.7401,7.5406,11.3101,5.9322,4.7046,6.3025,5.1494,6.3983,6.3425,5.2094,0.80369,6.2552,A28TOPA,M
5.6848,2.6496,5.7507,9.3321,5.2384,3.2847,0,6.0051,6.7804,9.0778,4.7587,1.6043,5.1295,8.0939,2.4672,1.7512,2.3859,1.5911,6.7485,A8ESSAI,M
3.2369,4.9018,5.5532,3.2803,4.8612,4.7416,0.74276,1.7144,9.9386,6.7971,9.3258,6.5718,3.9277,8.821,7.2453,4.9656,3.29,3.0834,4.8613,B11SUPR,H
3.9966,5.1452,6.7004,8.3095,3.3063,3.2472,2.4096,4.1445,6.0401,7.5723,4.2908,2.4643,5.0866,7.4501,6.6683,6.6361,5.6515,5.4665,4.906,B14FOVA,M
4.8147,4.4785,8.656,8.3233,6.9705,3.2452,5.8293,5.9653,9.8708,7.8636,0.74891,6.4695,4.7859,9.0121,10.8731,5.18,2.4318,1.4814,3.339,B17ARTO,M
4.8602,5.6238,4.1365,4.8671,5.06,0.833,7.1531,5.0909,7.6938,4.2513,6.0007,5.788,5.6548,6.6966,0.92142,5.9386,4.9212,3.3243,2.3243,B18CASI,H
1.6517,1.5158,3.903,0,3.2102,0,0,5.4241,2.5055,5.4991,8.9214,2.4417,2.4705,6.997,9.5756,4.1523,2.2629,2.2602,0.78576,B22VIPU,H
1.5559,0.76591,2.2031,2.9212,3.0543,2.2044,0,2.2799,5.4382,5.7087,7.1684,2.2649,0.73301,6.032,4.2535,5.6168,3.0485,0.72597,4.6536,B23VEZE,M
0,1.5162,5.7328,6.6601,1.5451,0,0,6.2035,6.0352,6.8351,7.2239,0.75893,1.5457,7.5116,7.6601,8.1269,1.4895,2.217,5.4767,B24CECU,H
3.2584,3.8401,3.5121,4.9514,3.121,1.6013,1.5649,2.4503,4.2801,5.1248,6.0162,2.467,2.2771,1.5302,5.4688,2.3342,0.74791,0,0.80954,B5ARMON,M
2.9741,3.0156,8.1195,9.7184,4.7421,3.6906,4.5625,3.1291,4.6679,9.7443,7.7475,2.2416,7.7308,8.5582,9.0257,8.4722,3.0335,4.7025,5.9486,B6SOMOD,M
5.502,8.957,8.8912,7.6989,5.7417,7.383,0.72081,5.7179,7.411,8.6302,12.3342,4.9289,8.0691,9.1538,8.0796,5.8328,4.846,7.9313,6.4664,B8RAMOM,H
0.74285,0.81622,5.6852,4.8239,6.043,0.74285,1.4942,5.6638,2.4224,8.4953,6.9665,1.6001,3.1346,5.9507,4.9402,0.81395,2.3837,2.2674,3.9845,M9BENIE,H
6.3569,8.0343,6.3155,5.5967,4.6357,1.4271,0,5.421,6.5733,8.8513,4.9515,5.7718,6.5775,3.0366,5.6127,2.3742,3.8155,0.71729,3.1552,M10CAUR,M
2.4207,4.0428,3.3218,4.1902,7.0419,1.4978,0.76524,5.4386,5.9237,4.4802,9.1619,4.1043,6.115,4.4788,6.4351,2.3715,1.5843,1.4865,3.2044,M11BADE,M
1.4552,0.78512,6.1347,5.4715,1,0.70399,0.70399,4.6697,3.7731,6.2535,5.5154,1.4645,0.71587,1,5.4709,4.3495,0,0,3.0682,M13FECA,M
7.5817,4.3938,4.6811,4.8302,1.6307,3.1794,2.2945,3.8895,8.5254,8.6587,7.4393,4.9394,5.7063,4.8198,6.6123,0.84025,2.9687,2.2678,2.2558,M16ARVE,M
12.7813,11.8134,11.6266,11.5401,7.6292,10.8742,0.73165,12.9842,12.7417,12.8512,10.5805,4.8241,13.575,12.1495,14.1067,12.8033,9.2392,7.0078,8.9033,M17GOSE,M
3.2526,10.6265,10.2156,10.1796,12.2725,11.9225,4.5689,9.4618,6.5216,11.2127,11.162,3.1737,8.9364,12.5899,10.3518,13.1472,9.2718,1.5311,2.9782,M18HUME,M
1.534,3.1213,1.5207,8.2564,5.7018,2.2787,1.5286,0.73743,5.8385,6.7275,8.5983,1.5165,6.3924,8.627,8.1398,5.9467,2.9883,5.4512,4.3386,M19NAMO,H
0.75807,0,3.0879,4.5615,6.1616,2.9551,3.0873,2.3706,1.4885,6.4319,7.2799,1.4868,4.4061,6.0244,7.2017,0,1.4837,0,4.6923,M21SANA,M
14.2938,11.8202,14.8548,14.8886,12.3751,13.4159,11.5254,14.7304,15.1067,14.7456,0,13.9683,12.6934,14.6229,13.8998,11.5415,14.324,13.7037,11.7947,M22HUGU,M
5.1422,5.6419,7.9049,6.3585,3.7472,0.77067,0,5.3069,9.8599,10.0343,8.9921,0,9.937,9.6249,7.651,5.1767,5.1239,5.3734,3.1607,M23SACA,M
3.4643,0,5.0141,6.9299,3.2691,3.9889,0.81797,2.4133,7.7859,7.8813,7.8728,5.151,5.1035,6.7429,4.077,5.1583,6.6276,0,0.81225,M25MAVI,M
0,0.73633,3.7639,5.0568,4.9165,0.73633,0,1.6083,4.1768,5.0575,4.319,0,4.0898,4.3363,7.9139,3.911,0,0.73098,2.2382,M28NUCO,M
6.5988,10.3633,11.2224,6.1154,3.3291,9.3832,0,12.7008,10.7338,11.6305,12.3892,5.0634,10.4334,11.3082,8.0193,5.2399,8.2846,7.4671,8.7103,M3ESDIR,H
5.7364,7.6809,11.8999,4.0209,6.0176,4.0504,9.6856,7.0307,9.4798,9.4115,8.6632,5.1913,8.5606,6.8704,9.216,6.1032,4.1028,5.8512,7.2558,M7FLSAA,H
6.3183,6.3091,8.0185,6.467,8.8,3.7899,3.0094,4.7638,9.3396,11.2015,9.0043,6.9785,9.6991,7.3609,10.4273,8.0679,3.1216,7.1064,4.8655,M8AVGUK,H
