durante_Gio_gamma_1,durante_Gio_gamma_2,durante_Gio_gamma_3,durante_Gio_gamma_4,durante_Gio_gamma_5,durante_Gio_gamma_6,durante_Gio_gamma_7,durante_Gio_gamma_8,durante_Gio_gamma_9,durante_Gio_gamma_10,durante_Gio_gamma_11,durante_Gio_gamma_12,durante_Gio_gamma_13,durante_Gio_gamma_14,durante_Gio_gamma_15,durante_Gio_gamma_16,durante_Gio_gamma_17,durante_Gio_gamma_18,durante_Gio_gamma_19,Clase
2.4876,5.8868,5.7465,7.6364,4.4229,3.3023,3.3117,2.5909,5.991,9.3213,7.1844,5.0185,5.0362,8.5004,5.4367,5.4172,4.1923,2.5467,5.2329,H
0.8107,6.9061,7.8058,7.9216,2.5337,0,0.80337,0.82171,7.0025,6.2788,8.034,0,7.0014,6.1007,8.0184,4.1535,0,0.8107,0,H
1.6563,1.6789,3.4282,3.5498,1.6486,0,0,1.6874,0.88139,3.5818,7.9326,0.82353,2.5923,2.8728,7.2248,3.5687,0,2.7149,3.5029,H
14.8233,13.6803,10.5709,12.0063,10.8186,7.9323,0,11.8163,14.9664,14.7885,6.0457,13.6614,13.7292,14.8665,13.6759,14.6998,11.4859,0,11.6762,H
0.8089,4.2246,6.0515,10.425,5.9176,2.4053,0,5.8706,6.5634,10.5826,9.8471,2.3783,3.3958,10.4491,10.6861,8.5468,3.2655,2.429,5.9553,H
2.4466,2.4568,6.2259,7.8661,3.3306,4.2503,0.82549,4.2419,11.0796,7.917,7.9709,1.6684,3.3692,3.6231,6.1076,5.0785,3.38,0,0.9009,M
3.4063,2.525,3.4494,5.319,4.283,4.1086,1.6507,5.2209,6.0007,5.1642,7.7997,6.9858,5.4021,5.8555,7.0208,3.3399,0.86133,1.6425,2.585,H
1,1.6623,6.8265,7.7775,4.2649,1.6428,0,6.6844,4.2737,7.7275,7.8089,1.8008,1.6725,6.7334,6.8851,4.9565,0.80075,0,4.1542,H
0,2.4336,5.2197,7.0861,5.2676,2.4103,3.2665,1.7232,5.8187,7.9243,8.0222,0,2.4421,7.8344,6.9045,7.0442,0.80532,0,5.054,H
10.5383,5.296,10.8062,10.6244,0,6.3512,3.3945,10.6788,11.5805,11.78,1.6934,6.0549,10.6936,12.5816,10.4163,11.8187,12.5137,0,11.5506,H
0,0.7788,7.6079,5.8758,0.79584,0,2.4277,0.82806,5.0679,8.906,7.7809,1.5763,4.9402,6.7768,8.6171,5.013,2.3699,0.79482,7.7195,M
5.9148,4.2632,6.9194,5.8485,1.6776,4.1536,1.6824,3.4549,6.0079,8.5417,7.9583,3.2461,5.0323,2.483,5.9504,5.8261,2.4572,3.2255,5.1005,M
0.87253,2.4532,8.3899,5.9504,6.9291,0.81465,0,3.4702,5.8727,8.6517,6.9197,2.5155,4.1204,6.0209,8.0521,3.4033,0.82837,0.83941,2.5518,H
5.2519,8.0512,8.0149,10.8851,8.1307,4.3599,2.5979,7.9061,6.0972,5.3798,8.8901,2.6637,4.4692,3.5841,7.2661,7.2381,1.6673,1.7406,9.8158,M
5.8033,5.075,4.1571,0,1.5903,3.2537,0,3.2796,6.9062,7.5172,4.3164,4.944,7.7257,7.6742,5.1092,2.4751,4.0952,3.2732,3.4289,M
0,1.6841,10.347,3.491,3.4977,1.6343,0,5.2028,6.8501,6.3171,8.8755,3.3109,6.8338,8.9949,10.8291,3.5424,5.9573,8.0135,8.0146,H
1.6451,0.8022,4.2115,2.4135,3.4418,0,0,2.4827,2.5547,4.4604,6.6707,0,4.0745,6.9327,4.2187,5.7501,3.2129,0,2.4987,H
5.7556,5.1302,10.3162,7.7627,2.7125,3.3892,0.81529,5.9282,9.4443,8.0827,11.4187,3.3371,7.6413,9.6606,9.812,6.054,2.499,6.1357,8.7465,M
9.0423,2.3696,10.2946,9.2189,6.3935,8.5016,9.4904,7.8388,11.4718,13.0622,0.77423,8.961,9.9588,13.0909,14.2135,11.9086,11.4124,10.0696,11.5152,M
2.692,4.37,6.1088,2.708,2.6717,2.6674,2.5724,8.0324,8.9417,4.5071,6.2044,5.2764,0.99456,8.7942,0.99456,4.5041,2.651,4.2999,6.0514,H
