durante_Gio_sf_1,durante_Gio_sf_2,durante_Gio_sf_3,durante_Gio_sf_4,durante_Gio_sf_5,durante_Gio_sf_6,durante_Gio_sf_7,durante_Gio_sf_8,durante_Gio_sf_9,durante_Gio_sf_10,durante_Gio_sf_11,durante_Gio_sf_12,durante_Gio_sf_13,durante_Gio_sf_14,durante_Gio_sf_15,durante_Gio_sf_16,durante_Gio_sf_17,durante_Gio_sf_18,durante_Gio_sf_19,Clase
0.82515,3.4342,4.1201,6.7759,3.568,2.5383,3.3216,1.7586,5.9828,6.7877,6.4005,4.212,3.4925,7.6975,5.4783,5.4351,4.2212,3.3503,5.2595,H
4.146,6.9327,9.7327,8.8425,4.2461,1.6671,1.6752,2.486,8.0531,9.7189,9.7659,1.6695,7.2171,7.0666,8.9588,5.0562,0.84085,2.4826,0.81137,H
2.5502,2.603,4.3785,3.7305,4.2837,0.84937,3.3442,2.6159,2.5828,5.4464,11.6399,0.8435,4.404,3.7418,7.4044,2.7582,0,5.268,4.4135,H
14.9188,13.8056,7.1449,12.0241,10.8367,8.9467,0,11.8208,15.0088,14.8335,6.9651,13.7906,13.8409,14.9321,12.8458,14.799,10.7486,0,11.7987,H
0,5.1456,6.8313,9.0007,7.7235,1.6522,0,6.8011,5.9307,10.6825,9.0714,1.65,2.5046,11.4095,10.8456,8.7715,4.9938,2.4967,6.0219,H
0.82296,2.449,5.392,8.7646,5.0418,4.2039,1.6649,3.4243,11.0429,7.9565,8.0299,1.6908,3.3458,3.5905,7.0502,5.953,3.4188,3.2953,4.3102,M
3.4331,4.0792,4.2338,4.4475,5.1358,4.0933,4.8283,6.0409,10.0491,5.1348,9.4218,6.0336,6.9627,4.9321,7.7323,3.3452,1.6698,3.159,1.782,H
1,0.80631,4.0984,5.7517,2.4618,0,0,2.4269,3.2759,4.1873,5.8685,1,0.79958,3.2984,3.4077,1.635,0,0,1.6482,H
0,0,5.1829,7.0912,5.1853,2.4578,2.4908,1.7678,4.2293,9.5161,7.8445,0,3.3315,7.0469,6.1829,6.0388,1.6538,0,4.1863,H
11.5285,7.0801,11.9372,11.6308,0,9.0583,4.3604,10.8193,12.6507,11.0964,2.6261,9.5463,11.7639,12.8114,10.5674,11.9228,12.6843,0,12.6078,H
5.0878,5.0609,8.5146,6.7313,2.4705,5.7457,1.6637,3.3516,6.0075,7.7415,7.0385,3.3075,4.2802,1.6469,5.8958,4.2362,4.2006,0.83721,4.2314,M
1.6959,4.9479,8.6358,8.4961,7.0879,1.6163,0,5.1441,6.0426,8.0205,6.1843,3.3621,5.0673,6.8486,8.9799,3.4592,0.8295,1.6955,5.0943,H
4.5328,6.3448,7.1227,10.8131,7.2727,4.4217,5.1116,8.9021,2.7014,5.3824,7.9913,2.6385,3.6127,4.3721,7.2892,6.3955,5.175,2.6462,11.582,M
4.2778,4.2727,5.8626,0.80312,4.0716,3.3079,0.81244,4.1615,6.9198,8.447,5.9488,4.9932,7.0073,8.6392,6.1491,2.5444,5.7539,4.0825,5.1429,M
1.6486,2.5374,11.0894,3.4988,4.3145,4.1197,3.3303,7.7473,6.8177,7.0168,9.5942,4.9462,7.5501,8.8828,10.7555,4.3938,6.6572,7.7997,9.6113,H
