@relation InstanceResultListener

@attribute Key_Dataset {despues_C_alpha_HM_AMB,despues_C_beta_HM_AMB,despues_C_delta_HM_AMB,despues_C_gamma_HM_AMB,despues_C_sf_HM_AMB,despues_C_theta_HM_AMB,despues_E_alpha_HM_AMB,despues_E_beta_HM_AMB,despues_E_delta_HM_AMB,despues_E_gamma_HM_AMB,despues_E_sf_HM_AMB,despues_E_theta_HM_AMB,despues_Gio_alpha_HM_AMB,despues_Gio_beta_HM_AMB,despues_Gio_delta_HM_AMB,despues_Gio_gamma_HM_AMB,despues_Gio_sf_HM_AMB,despues_Gio_theta_HM_AMB}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 1\nSize of the tree: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

despues_C_alpha_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,37,5,3,2,0,60,40,0,0.166667,0.408073,0.632713,81.198182,125.857685,5.039372,2148.059442,-2143.020069,1.007874,429.611888,-428.604014,0.978033,0.195607,97.849713,0.666667,2,0.5,1,0.5,1,0.333333,1,0.666667,0.666667,0.666667,0.166667,0.5,0.644444,0.6,0.433333,0.566667,0.4,0.6,0.6,0.6,0.166667,0.5,0.566667,0.583333,0.6,0.001,0,0,0,0,0,5711,9194,3146,60,50,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_alpha_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,37,5,3,2,0,60,40,0,0.285714,0.324531,0.444158,64.574986,88.350753,5.039372,3.755622,1.28375,1.007874,0.751124,0.25675,1.73007,0.346014,173.089139,1,2,0.666667,2,0.333333,1,0,0,0.5,1,0.666667,0.408248,1,1,0.6,0.266667,0.733333,0.4,0.8,0.6,0.566667,0.408248,1,1,0.583333,0.6,0.001,0,0,0,0,0,5711,9194,3146,100,90,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_alpha_HM_AMB,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,3,1,0,75,25,0,0.5,0.25,0.5,50,100,4,1074,-1070,1,268.5,-267.5,2,0.5,200,0.5,1,0,0,1,2,0.5,1,1,0.5,0.666667,0.57735,0.75,0.75,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,0.75,0.708333,0.733333,0.75,0.002,0,0,0,0,0,6075,9383,2957,75,50,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
despues_C_alpha_HM_AMB,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,3,1,0,75,25,0,0.5,0.324988,0.478748,64.99769,95.749668,4,4.014,-0.014,1,1.0035,-0.0035,1.480643,0.370161,148.064294,1,2,0.5,1,0.5,1,0,0,0.666667,1,0.8,0.57735,0.75,0.833333,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,0.75,0.833333,0.733333,0.75,0.002,0,0,0,0,0,5711,9383,2957,100,87.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_alpha_HM_AMB,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,2,2,0,50,50,0,0,0.441051,0.521373,88.210227,104.274694,4,4.333942,-0.333942,1,1.083486,-0.083486,0.482465,0.120616,48.246543,0,0,0,0,1,2,1,2,0,0,0,0,0.875,0.833333,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.875,0.833333,0.333333,0.5,0.001,0,0,0,0,0,4983,9383,2957,100,100,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
despues_C_alpha_HM_AMB,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,2,2,0,50,50,0,0,0.477997,0.659596,95.599356,131.919173,4,7.956956,-3.956956,1,1.989239,-0.989239,0.132915,0.033229,13.291464,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.625,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.625,0.666667,0.5,0.5,0.001,0,0,0,0,0,5711,9383,2957,75,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_alpha_HM_AMB,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,4,0,0,100,0,0,1,0.10322,0.14603,20.643939,29.205995,4,0.667249,3.332751,1,0.166812,0.833188,3.332751,0.833188,333.275067,1,2,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,5711,9383,2957,100,75,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_alpha_HM_AMB,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,3,1,0,75,25,0,0.5,0.335825,0.395816,67.165006,79.163111,4,2.632384,1.367616,1,0.658096,0.341904,1.393306,0.348327,139.330612,0.5,1,0,0,1,2,0.5,1,1,0.5,0.666667,0.57735,0.875,0.833333,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,0.875,0.833333,0.733333,0.75,0.001,0,0,0,0,0,4619,9383,2957,100,87.5,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
despues_C_alpha_HM_AMB,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,0,4,0,0,100,0,-1,0.962963,0.963675,192.592593,192.73499,4,2155.509775,-2151.509775,1,538.877444,-537.877444,-3.777937,-0.944484,-377.793738,0,0,1,2,0,0,1,2,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.001,0,0,0,0,0,5711,9383,2957,50,75,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
