@relation InstanceResultListener

@attribute Key_Dataset {durante_C_alpha_HM_AMB,durante_C_beta_HM_AMB,durante_C_delta_HM_AMB,durante_C_gamma_HM_AMB,durante_C_sf_HM_AMB,durante_C_theta_HM_AMB,durante_E_alpha_HM_AMB,durante_E_beta_HM_AMB,durante_E_delta_HM_AMB,durante_E_gamma_HM_AMB,durante_E_sf_HM_AMB,durante_E_theta_HM_AMB,durante_Gio_alpha_HM_AMB,durante_Gio_beta_HM_AMB,durante_Gio_delta_HM_AMB,durante_Gio_gamma_HM_AMB,durante_Gio_sf_HM_AMB,durante_Gio_theta_HM_AMB}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

durante_C_alpha_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,37,5,2,3,0,40,60,0,-0.363636,0.562509,0.693889,111.92784,138.026567,5.039372,10.276792,-5.237419,1.007874,2.055358,-1.047484,-0.675905,-0.135181,-67.622549,0.666667,2,1,2,0,0,0.333333,1,0.5,0.666667,0.571429,-0.408248,0.5,0.7,0.4,0.733333,0.266667,0.6,0.3,0.4,0.342857,-0.408248,0.5,0.62,0.285714,0.4,0.001,0,0,0,0,0,4983,9194,3146,80,80,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
durante_C_alpha_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,37,5,1,4,0,20,80,0,-0.428571,0.646971,0.674854,128.734047,134.240302,5.039372,10.188109,-5.148737,1.007874,2.037622,-1.029747,-1.59605,-0.31921,-159.68073,0.5,1,1,3,0,0,0.5,1,0.25,0.5,0.333333,-0.612372,0.25,0.325,0.2,0.7,0.3,0.8,0.1,0.2,0.133333,-0.612372,0.25,0.49,0.166667,0.2,0.001,0,0,0,0,0,4255,9194,3146,80,90,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
durante_C_alpha_HM_AMB,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,2,2,0,50,50,0,0,0.479167,0.678284,95.833333,135.656838,4,1077.584963,-1073.584963,1,269.396241,-268.396241,0.125531,0.031383,12.553088,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.625,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.625,0.666667,0.5,0.5,0.001,0,0,0,0,0,5711,9383,2957,75,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_alpha_HM_AMB,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,3,1,0,75,25,0,0.5,0.25,0.5,50,100,4,1074,-1070,1,268.5,-267.5,2,0.5,200,1,2,0.5,1,0.5,1,0,0,0.666667,1,0.8,0.57735,0.75,0.666667,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,0.75,0.708333,0.733333,0.75,0.001,0,0,0,0,0,6075,9383,2957,75,50,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
durante_C_alpha_HM_AMB,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,2,2,0,50,50,0,0,0.464286,0.547163,92.857143,109.432674,4,5.111361,-1.111361,1,1.27784,-0.27784,0.36257,0.090643,36.257008,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.625,0.583333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.625,0.666667,0.5,0.5,0,0,0,0,0,0,4255,9383,2957,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
durante_C_alpha_HM_AMB,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,2,2,0,50,50,0,0,0.532185,0.684624,106.437049,136.924735,4,1077.98376,-1073.98376,1,269.49594,-268.49594,-0.20215,-0.050538,-20.215027,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.25,0.5,0.5,0.5,0.001,0,0,0,0,0,6075,9383,2957,75,87.5,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
durante_C_alpha_HM_AMB,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,1,3,0,25,75,0,-0.5,0.72166,0.833771,144.331984,166.754199,4,1082.523869,-1078.523869,1,270.630967,-269.630967,-1.830834,-0.457708,-183.083373,0.5,1,1,2,0,0,0.5,1,0.333333,0.5,0.4,-0.57735,0.375,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.375,0.5,0.2,0.25,0.002,0,0,0,0,0,5711,9383,2957,50,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_alpha_HM_AMB,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,2,2,0,50,50,0,0,0.469231,0.641467,93.846154,128.293303,4,1076.437405,-1072.437405,1,269.109351,-268.109351,0.206451,0.051613,20.645088,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.5,0.583333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.666667,0.5,0.5,0.001,0,0,0,0,0,4983,9383,2957,75,75,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
durante_C_alpha_HM_AMB,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,1,3,0,25,75,0,-0.5,0.753032,0.835656,150.606316,167.131197,4,2151.27325,-2147.27325,1,537.818313,-536.818313,-2.019997,-0.504999,-201.999665,0.5,1,1,2,0,0,0.5,1,0.333333,0.5,0.4,-0.57735,0,0.416667,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0,0.458333,0.2,0.25,0.001,0,0,0,0,0,6075,9383,2957,50,75,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
