durante_C_alpha_1,durante_C_alpha_2,durante_C_alpha_3,durante_C_alpha_4,durante_C_alpha_5,durante_C_alpha_6,durante_C_alpha_7,durante_C_alpha_8,durante_C_alpha_9,durante_C_alpha_10,durante_C_alpha_11,durante_C_alpha_12,durante_C_alpha_13,durante_C_alpha_14,durante_C_alpha_15,durante_C_alpha_16,durante_C_alpha_17,durante_C_alpha_18,durante_C_alpha_19,Sujeto,Clase
0.46429,0.73333,0.73333,0.88889,0.77778,0.5,1,0.80556,0.53846,0.88889,0.80556,0.7,0.47619,0.62121,0.69697,0.68182,0.83333,0.83333,0.6,A10GUAC,A
0.75,0.69444,0.75,0.64286,NaN,0.75,NaN,0.66667,0.61818,0.75,0.71429,0.66667,0.59091,0.66667,0.16667,0.33333,0.33333,0.57143,0.33333,A11BRCA,A
0,0.5,0.42857,0.3,0.5,0.16667,0.66667,NaN,0.5,0.38095,0,0.42857,0.47619,0.5,0.33333,0.42857,0.5,0.47619,0.5,A12CAPA,A
0.66667,0,0.55556,0.53333,0.7,NaN,0.66667,0.60714,0.46429,0.73333,0.55556,0.93333,0.47619,0.52381,0.5,0.3,1,0.33333,0.33333,A13RIVI,A
0.86765,0.91667,0.93333,0.925,0.925,0.93333,0.77778,0.91667,0.86765,0.86765,1,0.86667,0.86765,0.925,0.925,1,0.86667,0.33333,0.925,A14RARO,A
0.57143,0.7619,0.66667,1,0,1,0.5,0.61905,0.67857,0.71429,1,0.67857,0.67857,0.57143,0.61905,0,0.5,1,0.57143,A15GOGA,A
0.68132,0.93333,0.61905,0.65,0.67857,0.66667,0.8,0.65152,0.85714,0.64167,0.70476,0.89286,0.69524,0.78788,0.81818,0.88889,0.91667,0.97222,0.79487,A17MUSI,A
0.51111,0.5,0.38095,0.58333,0.5,0.51111,0.61905,0.5,0.57143,0.57143,0.46429,0.45455,0.66667,0.61111,0.83333,0.4,0.83333,0.5,1,A1ARVAE,A
NaN,0.94505,0.925,0.89706,0.97436,0.91667,0.94505,0.91667,0.925,0.89706,0.89706,0.83516,0.89706,0.89706,0.89706,0.90833,0.90833,0.98485,0.96703,A21AGLO,A
NaN,0.86667,0.67949,0.66667,0.80952,0.6,0.71429,0.64444,0.67949,0.74545,0.82222,0.66667,0.71212,0.58095,0.82222,1,0.69444,0,0.62121,A22SAHE,A
1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,A24FLMA,A
0.33333,1,0.78788,0.70513,0.90909,1,1,1,1,0.80303,0.80303,0.33333,0.55556,0.93333,0.97778,0.97778,1,0.78788,0.97778,A52CUCA,A
0.86667,0.72727,0.6,0.71429,0.33333,0.84444,0.94444,NaN,0.78182,0.69697,0.61905,0.86667,0.91667,0.61818,0.4,1,0.33333,NaN,0.33333,A9AYAND,A
0.91111,0.67273,0,1,0.58182,0.91111,1,0.5,1,0.74545,0.66667,0.97222,0.91111,0.2,0.5,0.57692,0.97222,0.4,1,B11SUPR,B
0.80952,0.67857,0.33333,0.7,0.46429,0.7619,0.5,0.66667,0.55556,0.5,0.53333,0.80952,0.67857,0.4,0.52381,0.83333,1,0.52778,0.5,B12LARA,B
0.88889,0.94444,0.59048,0.80952,0.93333,1,0.6,1,0.86667,0.75758,0.71111,0.94444,0.70513,0.67033,0.71111,1,0.69091,0.83636,0.60256,B13VIGA,B
0.55556,0.57576,0.48889,0.83333,0.5,0.85714,0.82143,0.46429,0.61818,0.54545,0.73333,0.58333,0.80952,0.44872,0.90476,0.7,0.66667,0.8,0.57143,B18CASI,B
0.88889,NaN,0.73077,NaN,0.42857,0,0.88889,0.6,0.64444,0.73077,0.75556,0.64103,0.67273,0.81818,0.96429,0.6,0.81818,0.66667,0.91111,B22VIPU,B
0.61905,0.56364,0.62222,0.75,0.66667,1,0.16667,NaN,0.38095,0.56061,0.83333,0.67857,0.5,0.65455,0.83333,0.63636,0,NaN,0.71429,B24CECU,B
0.90476,0.63736,0.65152,0.86667,0.60714,0.77778,0,0.6,0.81818,0.83333,0.66667,0.69697,0.69231,0.72727,0.54286,1,0.88889,0.95238,0.66667,B4CAZAD,B
1,0.77778,0.6,0.64286,0.7619,0.96429,0.91667,1,0.61538,0.69444,0.64286,0.91667,0.72727,0.63636,0.75,0.61111,0.72727,0.63889,0.6,B7MESEA,B
0.64444,0.64762,0.72222,0.76364,0.69231,0.83333,1,0.78788,0.8,0.73333,0.69231,0.9,0.64762,0.74242,0.71429,0.78182,0.75,0.78788,0.70513,B8RAMOM,B
0.81818,0.75758,0.69697,0.73333,0.65714,0.7033,0.75,0.76364,0.82222,0.74242,0.74545,0.71111,0.70513,0.61667,0.71429,0.85714,0.90476,0.69231,0.93333,M9BENIE,M
