durante_C_theta_1,durante_C_theta_2,durante_C_theta_3,durante_C_theta_4,durante_C_theta_5,durante_C_theta_6,durante_C_theta_7,durante_C_theta_8,durante_C_theta_9,durante_C_theta_10,durante_C_theta_11,durante_C_theta_12,durante_C_theta_13,durante_C_theta_14,durante_C_theta_15,durante_C_theta_16,durante_C_theta_17,durante_C_theta_18,durante_C_theta_19,Sujeto,Clase
0.7619,0.7619,0.86111,0.77273,0.96429,0.9,1,0.72222,0.61111,0.91667,0.84444,0.60714,0.59091,0.70513,0.77273,0.96429,0.58974,0.70513,0.84444,A10GUAC,A
0.71111,0.68132,0.92857,0.78788,0.66667,1,0.88889,0.66667,0.66667,0.71212,0.80556,0.65455,0.66667,0.72527,0.86667,0.67273,0.8,0.58974,0.66667,A11BRCA,A
0.5,0.71429,0.75,0.82143,0.33333,0.55556,1,0.93333,0.58333,0.55556,0.42857,0.5,0.62222,0.32143,0.6,1,0.3,0.7,1,A12CAPA,A
0.28571,NaN,0.60714,0.66667,0.57778,0.8,0,0.33333,0.58333,0.82143,0.90476,0.8,0.57576,0.85714,0.71429,0.5,0.51282,0.8,0.66667,A13RIVI,A
0.89011,0.97778,0.69935,1,0.81905,0.94545,1,0.79167,0.91026,0.69935,1,0.89011,0.89011,0.77206,0.82857,1,0.8,0.81818,0.84615,A14RARO,A
0.57143,0.5,0.65455,0.75556,0.66667,0.86667,0.93333,0.75556,0.56061,0.69444,0.71111,0.83333,0.7619,0.65455,0.68889,1,1,0.5,NaN,A15GOGA,A
0.66667,0.69091,0.74242,0.7033,0.80303,0.69444,0.86111,0.69231,0.77778,0.80303,0.88889,0.73333,0.55,0.75758,0.75758,0.70513,0.71429,0.66667,0.85714,A17MUSI,A
0.65152,0.95238,0.66667,0.66667,0.5,0.69444,0.68889,0.55556,0.57692,0.64286,1,0.8,0.95238,0.8,0.53333,0.6,0.86111,0.65455,0.5,A1ARVAE,A
1,0.96324,0.96324,1,0.96324,0.96324,1,1,0.96324,0.96324,0.96324,0.85897,0.96324,0.96324,0.96324,0.96324,0.86275,1,1,A21AGLO,A
0.6,0.58333,0.57143,0.56364,0.56364,0.60714,0.55556,0.53333,0.51111,0.58333,0.66667,0.7619,0.57778,0.52778,0.50909,0.71429,0.52564,0.6,0.53571,A22SAHE,A
1,1,1,0.91176,0.73333,1,1,1,1,1,1,1,1,0.91176,0.81699,0.91176,1,1,0.91176,A24FLMA,A
1,0.72222,0.53846,0.51667,0.65455,0.78571,0.83333,0.63889,0.57576,0.68889,0.85714,0.63636,0.73333,0.61818,0.66667,0.82143,0.66667,0.57576,0.66667,A52CUCA,A
0.75556,0.88889,0.8,0.9,0.5,0.92857,0.6,0.9,0.88889,0.48485,0.71429,0.75556,1,0.5,0.53333,1,0.88889,0.96429,0.54545,A9AYAND,A
0.81818,0.75758,0.8,0.82222,0.6,0.96429,0.85455,0.78788,0.49451,0.66667,0.8,0.8,0.8,0.51111,0.62637,0.68182,0.73333,0.85714,0.64103,B11SUPR,B
1,0.94872,0.89744,0.77143,0.5,1,1,0.7619,0.94872,0.94872,0.79048,0.86813,0.85714,0.85714,0.61538,1,0.79048,0.73333,0.5,B12LARA,B
NaN,0.7619,0.75556,1,0.74545,1,1,0.63736,0.71111,0.75556,0.63736,0.63889,0.72727,0.65934,0.8,1,0.69231,0.91667,0.96429,B13VIGA,B
0.5,0.59341,0.65455,0.77273,0.77273,0.7,0.61538,0.72727,0.74242,0.64103,1,0.66667,0.71111,0.66667,0.95238,0.8,0.7,0.65455,0.66667,B18CASI,B
0.74545,0.8,0.92857,0.86111,0.71429,0.75,0.75,0.66667,0.77778,1,0.66667,0.74545,0.75,1,0.5,1,0.63636,0.3,0.5,B22VIPU,B
0.75,0.80556,0.85714,0.75,NaN,0.66667,NaN,NaN,0.74242,0.81818,0.70513,0.73333,0.6381,0.73077,0.75758,0.78182,0.93333,0.76364,0.94444,B24CECU,B
0.53333,0.60714,0.69444,0.6,0.8,0.83333,0.56364,0.53333,0.69444,0.64444,0.6,0.7,1,0.66667,0.54545,0.5,0.90476,1,0.69444,B4CAZAD,B
0.5,0.42424,0.53333,0.58182,0.8,0.66667,0.33333,0.61905,0.52381,0.67857,0.83333,0.53571,0.60714,0.57778,0.57778,0.71429,1,1,0.55556,B7MESEA,B
1,0.54545,0.84444,0.89091,0.89091,0.66667,0.81818,0.78788,1,0.58242,0.67033,0.7619,0.66667,0.73077,0.83636,0.80303,0.8,NaN,1,B8RAMOM,B
0.68889,0.67033,0.70513,0.7033,0.69231,1,0.75,0.77778,0.77778,0.82222,0.69444,0.67949,0.74242,0.65934,0.66667,0.69697,0.74242,0.77778,0.82143,M9BENIE,M
