durante_E_alpha_1,durante_E_alpha_2,durante_E_alpha_3,durante_E_alpha_4,durante_E_alpha_5,durante_E_alpha_6,durante_E_alpha_7,durante_E_alpha_8,durante_E_alpha_9,durante_E_alpha_10,durante_E_alpha_11,durante_E_alpha_12,durante_E_alpha_13,durante_E_alpha_14,durante_E_alpha_15,durante_E_alpha_16,durante_E_alpha_17,durante_E_alpha_18,durante_E_alpha_19,Sujeto,Clase
13,33,33,40,28,3,3,29,49,40,29,7,10,41,46,45,5,5,9,A10GUAC,A
21,25,27,18,0,21,0,4,34,27,20,10,39,30,1,1,2,12,2,A11BRCA,A
0,3,9,3,3,1,4,0,14,8,0,12,10,3,2,9,5,10,3,A12CAPA,A
14,0,20,24,7,0,2,17,13,11,20,14,10,11,18,3,1,5,2,A13RIVI,A
118,110,98,111,111,98,28,110,118,118,36,104,118,111,111,78,104,1,111,A14RARO,A
16,16,10,10,0,1,3,13,19,15,10,19,19,16,13,0,3,3,12,A15GOGA,A
62,14,65,78,19,4,12,43,24,77,74,25,73,52,54,40,33,35,62,A17MUSI,A
23,3,8,21,3,23,13,3,12,12,13,25,10,22,5,6,5,3,3,A1ARVAE,A
0,86,111,122,76,110,86,110,111,122,122,76,122,122,122,109,109,65,88,A21AGLO,A
0,13,53,52,17,6,20,29,53,41,37,14,47,61,37,15,25,0,41,A22SAHE,A
120,120,120,120,0,120,120,120,120,120,0,120,120,120,120,120,120,120,120,A24FLMA,A
1,1,52,55,50,1,3,36,6,53,53,1,25,42,44,44,1,52,44,A52CUCA,A
39,40,27,15,1,38,34,0,43,46,13,39,33,34,6,1,1,0,1,A9AYAND,A
41,37,0,1,32,41,1,3,21,41,44,35,41,2,5,45,35,4,3,B11SUPR,B
17,19,12,7,13,16,3,4,20,3,8,17,19,6,11,5,3,19,5,B12LARA,B
40,34,62,17,14,21,27,1,39,50,32,34,55,61,32,10,38,46,47,B13VIGA,B
20,38,22,5,18,18,23,13,34,30,11,21,17,35,19,7,4,12,16,B18CASI,B
40,0,57,0,9,0,40,9,29,57,34,50,37,54,27,6,54,44,41,B22VIPU,B
13,31,28,21,2,1,1,0,8,37,30,19,5,36,30,35,0,0,15,B24CECU,B
19,58,43,13,17,35,0,6,45,30,30,46,54,48,57,1,32,20,10,B4CAZAD,B
21,35,27,18,16,27,33,6,48,25,18,33,40,42,21,22,40,23,27,B7MESEA,B
29,68,26,42,63,5,10,52,36,33,63,9,68,49,65,43,21,52,55,B8RAMOM,B
45,50,46,33,69,64,21,42,37,49,41,32,55,74,20,24,19,63,14,M9BENIE,M
11,8,3,6,5,2,2,2,9,10,5,8,11,1,5,2,3,2,1,M12SAES,M
12,5,0,3,12,3,2,1,42,41,25,31,31,35,35,15,36,7,39,M19NAMO,M
21,25,28,1,5,32,2,0,31,15,4,30,30,35,5,8,13,35,7,M24SAME,M
2,46,11,51,43,2,0,45,59,59,54,26,45,55,54,17,49,24,0,M27MUAG,M
81,64,6,57,103,103,33,64,74,91,106,81,103,76,35,42,81,93,33,M3ESDIR,M
28,30,47,28,34,23,38,45,19,18,28,21,41,16,6,39,34,17,37,M7FLSAA,M
35,48,37,25,32,33,16,5,48,28,17,30,25,35,19,16,24,1,0,M8AVGUK,M
66,94,91,107,71,66,70,85,94,101,29,100,101,107,78,3,100,19,58,M9SAAND,M
