durante_E_delta_1,durante_E_delta_2,durante_E_delta_3,durante_E_delta_4,durante_E_delta_5,durante_E_delta_6,durante_E_delta_7,durante_E_delta_8,durante_E_delta_9,durante_E_delta_10,durante_E_delta_11,durante_E_delta_12,durante_E_delta_13,durante_E_delta_14,durante_E_delta_15,durante_E_delta_16,durante_E_delta_17,durante_E_delta_18,durante_E_delta_19,Sujeto,Clase
27,36,1,3,38,10,29,23,41,1,29,32,40,4,2,15,41,4,2,A10GUAC,A
106,110,106,118,110,14,10,36,114,110,103,103,103,110,103,103,103,103,78,A11BRCA,A
9,21,42,42,29,9,6,14,33,33,37,6,0,9,30,36,33,9,13,A12CAPA,A
26,20,26,39,25,14,45,25,6,39,29,13,33,26,37,43,20,27,23,A13RIVI,A
125,45,135,135,126,114,101,125,113,135,78,125,112,135,135,126,126,55,126,A14RARO,A
30,31,34,16,26,42,10,33,38,35,33,25,31,33,26,15,26,10,16,A15GOGA,A
32,38,45,60,15,22,15,41,70,49,51,29,68,60,49,26,68,49,41,A17MUSI,A
95,0,45,116,95,116,84,116,106,64,86,107,116,116,97,55,75,116,75,A1ARVAE,A
15,57,70,70,55,24,83,70,57,70,55,15,28,74,55,62,24,83,62,A21AGLO,A
4,43,49,7,10,42,49,55,35,46,3,3,53,46,28,6,53,53,12,A22SAHE,A
136,136,136,136,136,136,138,136,136,136,136,136,136,136,138,136,136,3,138,A24FLMA,A
0,63,26,89,89,51,48,89,39,27,89,41,0,74,58,66,50,68,59,A52CUCA,A
20,28,27,17,22,24,22,10,37,23,13,32,28,23,35,22,28,23,22,A9AYAND,A
111,89,105,45,86,100,120,97,111,120,105,36,51,120,97,97,36,88,75,B11SUPR,B
27,72,20,54,48,47,25,60,23,66,60,6,35,36,53,46,2,1,60,B12LARA,B
35,1,32,25,14,14,1,11,30,28,18,33,29,48,32,37,16,35,44,B13VIGA,B
40,42,51,15,15,10,5,15,40,51,36,40,57,54,36,18,40,51,38,B18CASI,B
124,100,99,66,114,1,54,124,113,124,114,124,113,124,114,101,125,111,114,B22VIPU,B
49,40,60,51,15,0,1,53,55,60,25,30,42,43,38,3,2,5,49,B24CECU,B
6,124,127,104,91,64,124,104,113,124,124,57,114,124,124,104,114,114,127,B4CAZAD,B
23,45,7,30,25,21,29,14,31,3,32,1,16,7,33,27,8,36,44,B7MESEA,B
28,69,56,63,78,91,55,27,83,33,71,67,46,83,63,54,16,36,25,B8RAMOM,B
12,64,25,38,50,55,36,10,28,28,56,12,46,12,44,55,51,43,10,M9BENIE,M
83,82,20,88,37,83,94,19,82,67,92,88,88,82,26,10,88,88,88,M12SAES,M
32,19,24,15,29,28,28,18,26,24,27,30,29,6,28,24,20,16,21,M19NAMO,M
19,16,10,38,41,11,2,32,42,48,41,10,38,41,23,24,41,13,8,M24SAME,M
39,5,14,11,41,33,4,24,39,47,23,24,18,31,19,33,6,6,36,M27MUAG,M
84,84,74,77,71,47,49,9,85,44,76,74,77,76,71,37,23,52,3,M3ESDIR,M
37,42,79,36,41,31,53,53,48,60,26,41,35,48,29,19,15,20,46,M7FLSAA,M
10,120,113,113,113,113,105,113,120,105,105,10,120,105,105,105,43,113,105,M8AVGUK,M
116,85,66,96,120,107,109,107,127,120,54,127,28,120,120,120,94,117,63,M9SAAND,M
