durante_E_delta_1,durante_E_delta_2,durante_E_delta_3,durante_E_delta_4,durante_E_delta_5,durante_E_delta_6,durante_E_delta_7,durante_E_delta_8,durante_E_delta_9,durante_E_delta_10,durante_E_delta_11,durante_E_delta_12,durante_E_delta_13,durante_E_delta_14,durante_E_delta_15,durante_E_delta_16,durante_E_delta_17,durante_E_delta_18,durante_E_delta_19,Sujeto,Clase
60,22,71,104,78,0,1,78,104,104,98,98,104,98,88,87,98,104,88,A18RURI,A
62,99,82,36,43,28,67,50,62,99,82,69,62,106,47,49,75,99,64,A19MOEP,A
97,2,97,51,82,97,21,37,84,80,70,89,83,91,91,53,75,72,0,A27HECE,A
58,78,60,78,34,50,18,0,84,84,46,67,74,70,78,0,70,50,0,A28TOPA,A
35,27,37,40,41,8,24,20,30,20,10,8,22,18,10,19,3,34,17,A8ESSAI,A
6,85,36,1,49,70,74,0,85,63,82,76,85,82,73,77,7,82,74,B10ESTO,B
45,32,37,17,6,45,45,8,21,37,12,45,21,37,40,6,45,3,14,B14FOVA,B
1,59,50,59,3,0,1,30,54,59,61,4,46,59,59,44,46,43,0,B15GOGO,B
0,26,31,36,16,0,1,19,38,31,1,0,22,31,16,19,31,22,47,B17ARTO,B
26,23,33,26,21,22,22,6,22,30,21,21,10,12,25,26,22,11,20,B20RORA,B
57,6,21,45,4,57,40,1,54,43,9,57,61,59,58,8,62,20,46,B21GUDE,B
59,41,55,31,67,10,31,59,5,65,67,10,25,45,69,54,28,3,65,B23VEZE,B
96,103,101,17,96,92,74,103,108,85,73,104,92,50,103,86,29,19,93,B25MEVI,B
77,71,74,52,78,9,24,50,67,63,48,72,77,19,77,10,36,10,67,B5ARMON,B
1,63,63,47,7,29,70,43,50,63,59,7,63,50,52,28,3,28,63,B6SOMOD,B
32,30,3,29,36,35,21,25,13,13,35,22,37,4,15,31,11,16,15,M10CAUR,M
90,99,75,93,63,21,5,79,99,45,99,80,8,84,99,87,80,48,99,M11BADE,M
9,10,27,35,43,13,8,1,6,34,34,9,10,39,34,34,9,34,34,M13FECA,M
46,70,50,66,70,73,35,57,43,58,88,0,39,81,62,31,81,78,19,M16ARVE,M
57,54,39,3,40,19,7,0,54,26,2,39,54,32,1,48,45,2,48,M17GOSE,M
138,135,135,135,120,138,135,135,135,135,135,6,135,123,135,135,135,138,135,M18HUME,M
37,33,33,39,13,43,37,16,25,23,26,25,33,34,20,9,19,5,4,M21SANA,M
45,59,111,117,90,20,101,67,87,111,92,54,117,100,92,63,111,45,99,M22HUGU,M
31,51,46,62,70,30,0,26,52,33,52,25,65,45,23,37,60,14,10,M23SACA,M
28,1,75,71,56,3,12,1,64,43,68,51,51,39,34,39,71,51,64,M25MAVI,M
19,19,41,62,61,2,14,28,52,42,61,24,60,66,55,55,42,35,42,M28NUCO,M
