durante_Gio_beta_1,durante_Gio_beta_2,durante_Gio_beta_3,durante_Gio_beta_4,durante_Gio_beta_5,durante_Gio_beta_6,durante_Gio_beta_7,durante_Gio_beta_8,durante_Gio_beta_9,durante_Gio_beta_10,durante_Gio_beta_11,durante_Gio_beta_12,durante_Gio_beta_13,durante_Gio_beta_14,durante_Gio_beta_15,durante_Gio_beta_16,durante_Gio_beta_17,durante_Gio_beta_18,durante_Gio_beta_19,Sujeto,Clase
3.0264,5.4797,7.4476,5.0678,5.6184,1.5154,0.7694,3.8605,6.4208,9.0931,7.7985,7.1145,7.0081,9.0313,6.9546,6.0651,4.7708,3.3846,7.2337,A10GUAC,A
3.7866,6.7979,7.2463,6.177,4.0581,0,0,3.1508,8.4815,7.8417,9.3971,2.2425,6.6794,7.0702,8.4721,3.8955,0.74589,3.7811,0.7262,A11BRCA,A
0.77659,7.2761,9.2393,7.3989,5.8673,5.5556,2.3035,1.4777,6.2665,8.9641,6.9457,0.77659,3.0407,2.2398,7.9382,7.1632,1.4608,0,2.2538,A12CAPA,A
1.4918,1.5034,3.7407,6.3738,3.787,0.74352,0,3.7045,2.1813,7.1197,6.8163,1.4321,2.2333,5.7783,6.1106,4.3063,0.75774,5.0422,4.2366,A13RIVI,A
14.6661,12.7026,12.1226,13.6862,8.6257,11.2245,0,13.4763,14.8184,14.5969,4.9893,12.4839,13.6471,14.743,14.5157,13.5737,12.2347,0,13.4225,A14RARO,A
0.84172,5.6121,4.7135,4.1385,1.5778,0.9369,0.72629,3.246,4.946,2.9985,4.0231,4.5642,4.1734,2.3991,2.3442,2.3023,3.2067,1.5011,1.5325,A15GOGA,A
2.311,4.0111,3.8606,9.38,7.5095,4.6928,0,3.7713,3.9584,8.5222,8.8709,1.5285,5.6929,7.8736,8.9972,9.9006,5.7552,1.4829,6.4772,A17MUSI,A
5.7067,3.939,5.5878,5.0569,5.9363,3.2832,4.7176,6.4333,7.9028,2.3962,8.2558,6.4365,6.5666,6.3965,8.4354,5.2336,5.4521,3.0508,5.1652,A1ARVAE,A
0,10.0008,12.2712,11.5565,8.6076,11.3455,0.76674,11.096,12.9043,12.5552,11.8083,0,9.7654,13.311,13.3616,10.4867,7.1918,5.4854,12.9271,A21AGLO,A
4.5166,5.4085,7.9042,8.4684,6.1638,1.4999,0,3.2695,6.3153,9.5709,10.4088,1.5142,2.3085,9.0833,9.3333,9.2309,0.81316,0.73366,3.9236,A22SAHE,A
13.786,9.8331,13.9993,14.2025,0.81502,12.7264,12.3106,13.7063,13.8721,14.2717,5.7887,12.4503,13.9233,15.6977,13.9966,14.8301,13.8146,0.8126,14.9719,A24FLMA,A
5.8583,6.7477,6.3579,4.9388,4.4999,6.692,4.539,7.2796,9.0576,5.0081,5.9328,4.8058,4.1437,5.8238,6.1613,4.2271,1.6225,5.3789,4.7672,A52CUCA,A
3.0871,4.0816,7.2363,7.8773,4.266,5.6306,3.1826,5.72,9.2701,8.4145,9.1615,1.5912,4.914,4.983,5.9802,4.2432,2.397,3.839,4.0212,A9AYAND,A
3.2369,4.9018,5.5532,3.2803,4.8612,4.7416,0.74276,1.7144,9.9386,6.7971,9.3258,6.5718,3.9277,8.821,7.2453,4.9656,3.29,3.0834,4.8613,B11SUPR,B
0,0,8.6345,8.6251,4.6166,2.3076,2.2904,6.4258,5.6566,5.6222,7.5307,0.80169,7.9521,9.126,9.1233,5.6746,7.0468,8.1733,9.7809,B12LARA,B
