durante_Gio_gamma_1,durante_Gio_gamma_2,durante_Gio_gamma_3,durante_Gio_gamma_4,durante_Gio_gamma_5,durante_Gio_gamma_6,durante_Gio_gamma_7,durante_Gio_gamma_8,durante_Gio_gamma_9,durante_Gio_gamma_10,durante_Gio_gamma_11,durante_Gio_gamma_12,durante_Gio_gamma_13,durante_Gio_gamma_14,durante_Gio_gamma_15,durante_Gio_gamma_16,durante_Gio_gamma_17,durante_Gio_gamma_18,durante_Gio_gamma_19,Sujeto,Clase
2.4876,5.8868,5.7465,7.6364,4.4229,3.3023,3.3117,2.5909,5.991,9.3213,7.1844,5.0185,5.0362,8.5004,5.4367,5.4172,4.1923,2.5467,5.2329,A10GUAC,A
0.8107,6.9061,7.8058,7.9216,2.5337,0,0.80337,0.82171,7.0025,6.2788,8.034,0,7.0014,6.1007,8.0184,4.1535,0,0.8107,0,A11BRCA,A
6.0778,8.5412,10.2349,10.6659,8.0075,5.0856,4.2425,10.4245,6.1812,8.6925,8.9571,4.1763,5.0088,4.2047,8.7881,8.4952,4.3199,0.82207,8.5999,A12CAPA,A
1.6563,1.6789,3.4282,3.5498,1.6486,0,0,1.6874,0.88139,3.5818,7.9326,0.82353,2.5923,2.8728,7.2248,3.5687,0,2.7149,3.5029,A13RIVI,A
14.8233,13.6803,10.5709,12.0063,10.8186,7.9323,0,11.8163,14.9664,14.7885,6.0457,13.6614,13.7292,14.8665,13.6759,14.6998,11.4859,0,11.6762,A14RARO,A
4.3024,8.1172,6.845,6.1182,5.8515,6.8684,0,7.7166,5.3971,6.2178,6.9227,9.3775,7.9829,4.2821,6.9279,5.9679,6.7365,1.6575,3.4248,A15GOGA,A
0.8089,4.2246,6.0515,10.425,5.9176,2.4053,0,5.8706,6.5634,10.5826,9.8471,2.3783,3.3958,10.4491,10.6861,8.5468,3.2655,2.429,5.9553,A17MUSI,A
3.4063,2.525,3.4494,5.319,4.283,4.1086,1.6507,5.2209,6.0007,5.1642,7.7997,6.9858,5.4021,5.8555,7.0208,3.3399,0.86133,1.6425,2.585,A1ARVAE,A
1,1.6623,6.8265,7.7775,4.2649,1.6428,0,6.6844,4.2737,7.7275,7.8089,1.8008,1.6725,6.7334,6.8851,4.9565,0.80075,0,4.1542,A21AGLO,A
0,2.4336,5.2197,7.0861,5.2676,2.4103,3.2665,1.7232,5.8187,7.9243,8.0222,0,2.4421,7.8344,6.9045,7.0442,0.80532,0,5.054,A22SAHE,A
10.5383,5.296,10.8062,10.6244,0,6.3512,3.3945,10.6788,11.5805,11.78,1.6934,6.0549,10.6936,12.5816,10.4163,11.8187,12.5137,0,11.5506,A24FLMA,A
0.87253,2.4532,8.3899,5.9504,6.9291,0.81465,0,3.4702,5.8727,8.6517,6.9197,2.5155,4.1204,6.0209,8.0521,3.4033,0.82837,0.83941,2.5518,A52CUCA,A
3.1627,5.0668,7.5442,8.3321,2.4986,4.8402,2.4426,2.5343,7.6725,6.2375,5.1247,2.4247,6.6319,3.4131,5.0242,3.3515,4.8064,1.5946,2.5077,A9AYAND,A
1.6407,2.5284,6.7497,3.4082,4.1901,3.3339,0.81777,2.4765,5.2772,6.09,9.5532,1.6624,2.4686,4.9866,5.0905,3.3305,0.84443,0,1.6872,B11SUPR,B
0,1.6841,10.347,3.491,3.4977,1.6343,0,5.2028,6.8501,6.3171,8.8755,3.3109,6.8338,8.9949,10.8291,3.5424,5.9573,8.0135,8.0146,B12LARA,B
1.6451,0.8022,4.2115,2.4135,3.4418,0,0,2.4827,2.5547,4.4604,6.6707,0,4.0745,6.9327,4.2187,5.7501,3.2129,0,2.4987,B13VIGA,B
2.692,4.37,6.1088,2.708,2.6717,2.6674,2.5724,8.0324,8.9417,4.5071,6.2044,5.2764,0.99456,8.7942,0.99456,4.5041,2.651,4.2999,6.0514,B18CASI,B
4.1127,2.331,8.135,2.3372,5.8835,0,0,9.2349,10.3981,11.232,12.181,9.1287,9.3204,11.8541,12.0331,9.1252,6.3258,1.5407,5.7132,B22VIPU,B
0.81072,3.251,5.9914,4.3867,0.80779,0.81072,0,0.8264,2.5238,7.1098,5.7011,0.80489,1.6077,7.0201,6.4606,6.0136,1.6194,0.81446,2.556,B24CECU,B
2.5828,9.0466,10.2504,11.2339,8.9392,0,0,9.8927,10.1988,10.1857,10.1,0.84534,10.9629,9.3154,11.048,1.7299,0.85294,0.84483,8.0924,B4CAZAD,B
2.6794,3.3265,3.436,3.6478,5.195,2.5825,0,3.5756,4.3585,5.1842,0.82811,1.7155,4.2937,6.8423,6.0375,3.473,1.7994,2.5989,2.5558,B7MESEA,B
6.0309,10.1852,6.8384,11.1189,7.6483,4.1983,0,3.3714,9.3181,8.0781,9.5764,9.3745,7.6212,9.5476,9.7229,6.2084,2.536,4.1578,5.1848,B8RAMOM,B
0.86204,2.4222,6.8197,5.7047,8.5109,2.4302,0.77613,6.0819,4.7778,9.592,8.1803,2.4245,2.4341,8.7232,6.0634,1.6233,1.6381,3.1847,2.5497,M9BENIE,M
0,4.1668,6.7524,7.6306,5.0412,0,0,2.4946,3.3861,7.1449,5.8559,0,1.6696,6.8671,5.9441,2.4523,0,0,0,M12SAES,M
0.84704,7.6754,8.7501,9.7663,5.9317,7.7108,0,3.296,9.6854,10.5109,9.9456,1.6161,5.967,10.6031,8.7975,8.5918,3.2806,3.3079,3.6366,M19NAMO,M
